,Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
729,8702 SW 41st Ave,439900,4,2,2293,5326,Maplewood Elementary School,Jackson Middle School,96,1924
730,3510 SW Sherwood Pl,1498000,4,3,4383,26192,Ainsworth Elementary School,West Sylvan Middle School,9,1962
731,4405 SW Selling Ct,975000,4,3,4161,18909,Bridlemile Elementary School,Gray Middle School,96,1990
732,7523 SE 120th Pl,524500,4,3,2996,9552,Gilbert Park Elementary School,Alice Ott Middle School,74,2005
733,12336 SE Stephens St,355900,3,1,1526,3129,Mill Park Elementary School,Ron Russell Middle School,74,1946
734,11652 SW 31st Ct,849900,6,2,4447,15862,Stephenson Elementary School,Jackson Middle School,96,1996
735,429 NW Skyline Blvd,2450000,5,3,5394,17660,Forest Park Elementary School,West Sylvan Middle School,9,1928
736,314 N Hayden Bay Dr,449000,2,3,1927,7057,Faubion Elementary School,Faubion Elementary School,146,1973
737,14125 NW Germantown Rd,4000000,5,5,13000,47750,Skyline Elementary School,Skyline Elementary School,9,1967
738,2417 NE Dekum St,339000,3,1,880,3177,Faubion Elementary School,Faubion Elementary School,92,1981
739,17448 SE Marie St,285000,2,1,1428,2248,Meadows Elementary School,Centennial Middle School,68,1925
740,2324 NW Pinnacle Dr,1498000,4,3,5606,20561,Forest Park Elementary School,West Sylvan Middle School,9,2001
741,3735 SE Martins St,1200000,9,7,6345,17015,Duniway Elementary School,Sellwood Middle School,16,1991
742,3336 NE Cadet Ave,649000,3,3,4346,9665,Lee Elementary School,Roseway Heights School,92,1969
743,3506 NE 145th Ave,654000,4,3,3376,7138,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1969
744,6330 SW Sweetbriar Ct,1998000,6,5,6238,23618,Bridlemile Elementary School,West Sylvan Middle School,9,2005
745,5135 NW Saint Helens Rd,777000,3,1,2784,4519,Skyline Elementary School,Skyline Elementary School,9,1937
746,3129 NE Rocky Butte Rd,870000,3,3,3431,11206,Lee Elementary School,Roseway Heights School,92,1979
747,531 N Bridgeton Rd ,317000,1,1,831,0,Faubion Elementary School,Faubion Elementary School,146,2000
748,4425 SW 47th Dr,1035000,6,3,4044,16554,Bridlemile Elementary School,Gray Middle School,96,2016
749,9328 SW 30th Ave,639000,6,4,4308,10381,Capitol Hill Elementary School,Jackson Middle School,96,2010
750,4470 SE 12th Ave,475000,2,1,1356,2583,Grout Elementary School,Hosford Middle School,16,1956
751,3369 NE 162nd Ave,149990,2,1,892,1385,Margaret Scott Elementary School,Hauton B Lee Middle School,174,1979
752,9129 NE Webster St,269000,3,1,2043,2793,Shaver Elementary School,Parkrose Middle School,51,1911
753,2630 N Hayden Island Dr ,329000,2,2,1350,41782,Faubion Elementary School,Faubion Elementary School,146,1997
754,3438 SE Tolman St,659000,4,2,3035,8914,Duniway Elementary School,Sellwood Middle School,16,1937
755,10320 NE 6th Dr,310000,2,1,2388,4699,Faubion Elementary School,Faubion Elementary School,146,1943
756,8426 SE Lambert St,349950,3,1,1863,3694,Kelly Elementary School,Lane Middle School,29,1930
757,365 N Lotus Beach Dr,750000,2,2,3288,12032,Faubion Elementary School,Faubion Elementary School,146,1982
758,9912 NW Wind Ridge Dr,8650000,4,4,11807,87591,Forest Park Elementary School,West Sylvan Middle School,9,2001
759,5820 N Maryland Ave,429900,2,1,783,2508,Beach Elementary School,Ockley Green School,146,1955
760,10238 NW Langworthy Ter,1349000,4,4,4601,17324,Forest Park Elementary School,West Sylvan Middle School,9,2014
761,2454 SW Arden Rd,669000,3,2,2840,9435,Ainsworth Elementary School,West Sylvan Middle School,9,1910
762,1625 NW Johnson St,879900,3,4,2996,8943,Chapman Elementary School,West Sylvan Middle School,9,1906
763,2807 SW Plum Ct,549900,5,3,2680,7662,Stephenson Elementary School,Jackson Middle School,96,1969
764,11020 NW Laidlaw Rd,1350000,6,5,5613,15673,Bonny Slope Elementary School,Cedar Park Middle School,57,2005
765,4450 W Burnside Rd,1500000,5,3,3858,15991,Ainsworth Elementary School,West Sylvan Middle School,9,2011
766,10640 NE Beech St,740000,5,2,2540,5569,Prescott Elementary School,Parkrose Middle School,51,1914
767,3939 N Marine Dr ,429900,2,2,1576,11075,Faubion Elementary School,Faubion Elementary School,146,1981
768,5335 SW Patton Rd,6975000,4,5,8162,38872,Bridlemile Elementary School,Gray Middle School,96,1971
