Street,Price,Beds,Baths,Square Footage,Elementery School,Middle School,High School
2325 NE Flanders St ,$425000,2,1,963,Buckman Elementary School,Hosford Middle School,Cleveland High School
6807 SE Morrison St,$899900,5,3,3600,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
2343 NE 11th Ave,$629000,3,2,2812,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
5555 NW 132nd Ave,$829900,5,3,3502,Jacob Wismer Elementary School,Stoller Middle School,Sunset High School
7456 N Stockton,$549900,3,2F11/2,1693,Astor Elementary School,Astor Elementary School,Roosevelt High School
7460 N Stockton Ave,$564900,3,2F11/2,1802,Astor Elementary School,Astor Elementary School,Roosevelt High School
2837 SE 133rd Ave,$347000,3,2,1296,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
12055 NW Hibbard Dr ,$599950,3,2F11/2,2251,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
280 NE 60th Ave ,$236900,1,1,634,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
15050 NW Aberdeen Dr,$432000,2,2F11/2,1800,Oak Hills Elementary School,Meadow Park Middle School,Sunset High School
227 SW Florida St,$955000,4,3F11/2,4297,Rieke Elementary School,Gray Middle School,Wilson High School
1025 SW Bertha Blvd ,$200000,2,1,1001,Rieke Elementary School,Gray Middle School,Wilson High School
1829 NW Lovejoy St ,$269000,1,1,608,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3855 SE 149th Ave,$390000,3,3,2856,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
1616 NW Northrup St,$999999,6,4,2884,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
10627 NE Fargo St,$329999,4,3,2520,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
2524 NE 63rd Ave,$750000,5,2F11/2,2291,Rose City Park,Roseway Heights School,Madison High School
4892 NW Olivares Ter,$353900,3,2F11/2,1476,Sato Elementary School,Stoller Middle School,Westview High School
10095 NW Jack Ln ,$345000,2,2F11/2,1565,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
8110 SW 6th Ave,$870000,4,4,4520,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
2896 SW Patton Rd,$3850000,5,5F11/2,8155,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
9149 NW Mckenna Dr,$875000,5,4F11/2,4698,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
12336 NE Brazee St,$364900,4,1F11/2,2618,Russell Elementary,Parkrose Middle School,Parkrose High School
309 N Bridgeton Rd ,$254000,2,1,720,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
13610 SE Steele St,$252500,2,2F11/2,2324,Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School
11200 SW Lynnridge Ave,$870000,4,3F11/2,3826,William Walker Elementary School,Cedar Park Middle School,Beaverton High School
12292 NW Hiller Ln ,$868995,5,3F11/2,3239,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
7816 SW 5th Ave,$439900,3,1,2212,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
9327 SE Alder St,$339000,2,1,786,Harrison Park School,Harrison Park School,Madison High School
21254 NW Cannes Dr,$499900,5,3,2268,Lenox Elementary School,J W Poynter Middle School,Liberty High School
6855 NE Morris St,$570000,4,3,3232,Rose City Park,Roseway Heights School,Madison High School
10707 SW Riverside Dr,$1599500,4,4F11/2,4000,Riverdale Grade School,Riverdale Grade School,Riverdale High School
12329 NW Fernleaf Ln ,$829995,4,2F11/2,2866,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
3629 SE Crystal Springs Blvd,$674900,4,2,3086,Duniway Elementary School,Sellwood Middle School,Cleveland High School
11301 SW Military Rd,$1350000,5,2F11/2,3709,Riverdale Grade School,Riverdale Grade School,Riverdale High School
1104 SW Columbia St ,$229900,1,1,504,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
9438 N Gilbert Ave,$375000,3,1F11/2,1256,James John Elementary School,George Middle School,Roosevelt High School
4933 N Haight Ave,$350000,4,1,2292,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
3631 N Vancouver Ave,$410000,3,2,1195,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
533 NE Holladay St ,$219950,1,1,736,Buckman Elementary School,Hosford Middle School,Cleveland High School
5256 NE Couch St ,$699999,3,3F11/2,2184,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
1784 SE Brooklyn St,$679900,3,2F21/2,1940,Abernethy Elementary School,Hosford Middle School,Cleveland High School
12149 NW Hiller Ln ,$810695,5,3,2998,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
5264 NE Couch St ,$699999,3,3F11/2,2184,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
5280 NE Couch St ,$699999,3,3F11/2,2102,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
7297 SW Arranmore Way,$875000,4,3,5224,Montclair Elementary School,Whitford Middle School,Southridge High School
9180 N Polk Ave,$448900,4,2F11/2,1822,James John Elementary School,George Middle School,Roosevelt High School
1630 SW Harbor Way ,$479500,2,2,1134,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
1234 SW 57th Ave,$1290000,5,4,3700,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
4518 N Fessenden St,$450000,3,2F11/2,2214,Rosa Parks Elementary School,George Middle School,Roosevelt High School
3385 NE 7th Ave,$749900,4,3F11/2,2787,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
680 NE Ivy St,$719900,4,3F11/2,2787,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
704 NE 53rd Ave,$359000,2,1,1492,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
5925 N Delaware Ave,$549000,5,3,2762,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
9034 SE 78th Pl,$89900,3,2,1344,Lewelling Elementary School,Rowe Middle School,Milwaukie High School
5781 SW Clay Ct,$725000,3,3F11/2,2815,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
7480 SE Rhone St,$599900,4,2F11/2,2493,Marysville Elementary School,Marysville Elementary School,Franklin High School
10334 NW Engleman St,$900000,6,3F11/2,4481,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
5241 SW Humphrey Blvd,$595000,5,3,3930,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
315 SW Troy St,$529000,4,3,2888,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
11737 SW 35th Ave,$419950,3,2F11/2,2000,Markham Elementary School,Jackson Middle School,Wilson High School
8675 N Burrage Ave,$459900,3,2F11/2,1670,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
10436 SE Reedway St,$300000,3,1,2040,Lent Elementary School,Lent Elementary School,Franklin High School
3315 N Russet St,$350000,5,4,2224,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
3087 NW 123rd Pl,$889498,3,3F11/2,3961,Terra Linda Elementary School,Cedar Park Middle School,Sunset High School
3507 SE Bybee Blvd,$924000,4,3,3165,Duniway Elementary School,Sellwood Middle School,Cleveland High School
2909 SW Upper Dr,$499000,3,2,2175,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
323 NW 13th Ave ,$489000,1,1,784,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
2250 NE Flanders St ,$300000,2,1,906,Buckman Elementary School,Hosford Middle School,Cleveland High School
3056 SW Fairmount Blvd,$725000,3,3,2918,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
3592 NE Simpson St,$629900,3,2F11/2,1728,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
1716 NW Riverscape St,$987000,2,2F11/2,2151,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
13245 NE Sacramento Dr,$480000,4,2,2388,Russell Elementary,Parkrose Middle School,Parkrose High School
8980 NW Cornell Rd,$698000,3,3,2988,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
6330 SE Dunbar Dr,$555000,3,3F11/2,3923,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
11830 NW Holly Springs Ln ,$279900,2,2,939,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
411 NW Flanders St ,$259900,1,1,723,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
5535 SW Hewett Blvd,$1935000,5,4,5278,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
6255 SW Sheridan St,$1325000,4,2F11/2,4268,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
2585 SE 14th Ave,$324900,1,1,673,Abernethy Elementary School,Hosford Middle School,Cleveland High School
4380 SW 75th Ave,$998000,5,3F11/2,3876,Raleigh Park Elementary School,Whitford Middle School,Beaverton High School
6342 SE 86th Ave,$369000,4,2F11/2,1631,Kelly Elementary School,Lane Middle School,Franklin High School
11834 SE Ash St,$258000,2,1,900,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
9173 SW Salmon St,$825000,6,3,3938,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
6746 SE 75th Ave,$315000,3,2,1186,Woodmere Elementary School,Lane Middle School,Franklin High School
4576 NE 47th Ave,$425000,2,1F11/2,1040,Rigler Elementary School,Beaumont Middle School,Madison High School
4794 NE Going St,$420000,2,1F11/2,1012,Rigler Elementary School,Beaumont Middle School,Madison High School
4754 NE Going St,$420000,2,1F11/2,1012,Rigler Elementary School,Beaumont Middle School,Madison High School
4798 NE Going St,$530000,4,2F11/2,1574,Rigler Elementary School,Beaumont Middle School,Madison High School
4548 NE 47th Ave,$495000,3,2,1393,Rigler Elementary School,Beaumont Middle School,Madison High School
10936 NE Wygant St,$299900,4,2,2775,Prescott Elementary School,Parkrose Middle School,Parkrose High School
4556 NE 47th Ave,$530000,4,2F11/2,1574,Rigler Elementary School,Beaumont Middle School,Madison High School
4746 NE Going St,$425000,2,1F11/2,992,Rigler Elementary School,Beaumont Middle School,Madison High School
4588 NE 47th Ave,$425000,2,1F11/2,992,Rigler Elementary School,Beaumont Middle School,Madison High School
5547 SE 119th Ave,$365000,4,1F11/2,1472,Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School
3907 N Albina Ave,$750000,3,2,1932,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
4010 SW Pomona St,$769900,4,3,3091,Markham Elementary School,Jackson Middle School,Wilson High School
4384 SE Nehalem St,$689900,3,2F11/2,2603,Lewis Elementary School,Sellwood Middle School,Cleveland High School
10521 SW 11th Dr,$758900,2,2,2427,Stephenson Elementary School,Jackson Middle School,Wilson High School
8039 SE Carlton St ,$249000,2,1F11/2,985,Woodmere Elementary School,Lane Middle School,Franklin High School
8039 SE Carlton St,$249000,2,1F11/2,985,Woodmere Elementary School,Lane Middle School,Franklin High School
7700 SE Mitchell St,$377000,3,2,1693,Marysville Elementary School,Marysville Elementary School,Franklin High School
3413 SE Division St,$849000,3,2F11/2,2213,Abernethy Elementary School,Hosford Middle School,Cleveland High School
6609 NE Rodney Ave,$799000,3,2F11/2,2914,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
4744 NE Going St,$530000,4,2F11/2,1574,Rigler Elementary School,Beaumont Middle School,Madison High School
2914 NE 50th Ave,$975900,5,3F11/2,3254,Alameda Elementary School,Beaumont Middle School,Grant High School
4572 NE 47th Ave,$425000,2,1F11/2,1040,Rigler Elementary School,Beaumont Middle School,Madison High School
5112 NE 23rd Ave,$899900,5,3F11/2,2602,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
1620 NW Riverscape St,$599999,2,2F11/2,1489,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7536 N Chatham Ave,$739900,6,4F11/2,3165,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
3921 NW Devoto Ln,$1390000,5,3F11/2,5340,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
4380 SW Laurelwood Ave,$789900,3,2,2441,Raleigh Park Elementary School,Whitford Middle School,Beaverton High School
7027 SE Rhone St,$439900,5,2,2192,Arleta Elementary School,Arleta Elementary School,Franklin High School
1132 SW 19th Ave ,$329900,1,1,662,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
2526 SE 130th Ave ,$269000,3,2F11/2,1437,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
6176 SE Boise St,$524000,3,2F11/2,1694,Arleta Elementary School,Arleta Elementary School,Franklin High School
4263 NW Ashbrook Dr,$744900,4,3F11/2,2905,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
4316 NW Ashbrook Dr,$744900,4,3F11/2,2908,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
5815 SE Flavel St,$335000,3,2,1134,Woodmere Elementary School,Lane Middle School,Franklin High School
908 SW Gaines St ,$235000,2,1,852,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
317 NE 56th Ave,$440000,2,2F11/2,1329,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
15348 SE Henderson Way,$485500,4,2F21/2,3080,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
2107 NE 14th Ave,$1049000,5,2F11/2,3850,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
11705 NW Winter Park Ter ,$299900,2,2,1011,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
1410 NW Kearney St ,$469000,1,1,1122,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
1616 SW Montgomery St,$695000,2,2F11/2,1937,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
6035 SE Reed College Pl,$1620000,5,4F11/2,5710,Duniway Elementary School,Sellwood Middle School,Cleveland High School
9780 SW 54th Ave,$699000,5,3,2595,Markham Elementary School,Jackson Middle School,Wilson High School
627 NE Randall Ave,$599900,2,2F11/2,1487,Buckman Elementary School,Hosford Middle School,Cleveland High School
623 NE Randall Ave,$599900,2,2F11/2,1487,Buckman Elementary School,Hosford Middle School,Cleveland High School
621 NE Randall Ave,$599900,2,2F11/2,1461,Buckman Elementary School,Hosford Middle School,Cleveland High School
2387 NW Northrup St ,$569000,2,1,1714,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
12642 NW Barnes Rd ,$164900,2,1,812,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
2636 SW Hume Ct,$342900,2,2,1251,Maplewood Elementary School,Jackson Middle School,Wilson High School
3523 SE Alder St,$799900,5,3F11/2,2645,Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School
8428 SE 146th Pl,$510000,4,3F11/2,3318,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
1542 SW Joshua St,$719000,4,3,2760,Stephenson Elementary School,Jackson Middle School,Wilson High School
7735 SE 66th Pl,$369000,3,2,1544,Whitman Elementary School,Lane Middle School,Cleveland High School
12621 SE Boise St,$259900,3,2F11/2,1420,Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School
302 NE Morgan St,$287500,3,2F11/2,1131,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
4650 SW Ormandy Way,$650000,4,2F11/2,2080,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
15715 NE Beech St ,$123900,2,2,978,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
3526 NE Fremont St,$1200000,4,2,4756,Alameda Elementary School,Beaumont Middle School,Grant High School
1210 SE 135th Ave,$349000,3,1,2100,Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School
709 SW 16th Ave ,$199900,1,1,565,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
2834 NE Alameda St,$1299900,6,4F11/2,5837,Alameda Elementary School,Beaumont Middle School,Grant High School
2846 NW Fairfax Ter,$1700000,5,3F21/2,6136,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
2122 SW 18th Ave,$899000,3,3F11/2,2877,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
2380 NE Jarrett St,$749900,4,3F11/2,2935,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
15226 SE Flavel St,$449995,5,3,2279,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
15234 SE Flavel St,$444995,4,2F11/2,2219,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
4019 N Overlook Ter,$995000,3,2F11/2,2756,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
12 NE Fremont St ,$995000,3,2,1686,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
528 SE 128th Ave,$329000,3,1,1170,Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School
2929 SE 17th Ave,$458500,2,1,1764,Abernethy Elementary School,Hosford Middle School,Cleveland High School
535 NE Bridgeton Rd ,$250000,2,1,1034,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
629 NE Randall Ave,$599900,2,2F11/2,1554,Buckman Elementary School,Hosford Middle School,Cleveland High School
7621 SE Barbara Welch Rd,$800000,4,4,4081,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
6886 NE 13th Ave,$499900,3,2F11/2,1712,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
3316 SE 67th Ave,$693999,5,3,2912,Bridger Elementary School,Bridger Elementary School,Franklin High School
1400 NW Irving St ,$330000,1,1,804,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
1944 NW Cedar Ridge Dr,$999000,4,3F11/2,4540,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
6580 SW Evan Ct,$730000,5,2F11/2,3231,Montclair Elementary School,Whitford Middle School,Southridge High School
1239 NW Mayfield Rd,$829000,4,3F11/2,4135,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
3441 SE 111th Ave ,$47900,2,1,672,West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School
4005 SE Sherman St,$574989,4,2F11/2,1874,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
6434 SE 138th Pl,$319990,3,2F11/2,1297,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
7033 SE 29th Ave,$724900,4,2F11/2,2634,Duniway Elementary School,Sellwood Middle School,Cleveland High School
1524 NE 148th Pl,$370000,2,2,1713,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
15372 NW Aberdeen Dr,$437500,2,2F11/2,1762,Oak Hills Elementary School,Meadow Park Middle School,Sunset High School
9524 NW Engleman St,$760000,4,3,3304,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
8405 SE 23rd Ave,$267000,2,1F11/2,1030,Duniway Elementary School,Sellwood Middle School,Cleveland High School
7926 SE 6th Ave,$775000,3,2F11/2,1800,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
7932 SE 6th Ave,$775000,3,2F11/2,1800,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
2076 NW Johnson St ,$274900,1,1,552,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
9746 NW Sunrise Ln,$1850000,5,4F11/2,6395,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
5035 N Montana Ave,$375500,4,2,2541,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
2738 SW Robins Crest Dr,$1450000,5,3,5846,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
5035 NE 24th Ave,$849900,5,3F11/2,2645,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
5615 SE 115th Ave,$368000,3,2,2132,Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School
12450 SW Fischer Rd ,$139500,3,2,1493,Alberta Rider Elementary School,Twality Middle School,Tualatin High School
2350 NW Savier St ,$675000,2,2,1278,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
8940 NW Skyline Blvd,$594000,5,2,2688,Skyline Elementary School,Skyline Elementary School,Lincoln High School
2180 NW 111th Ave,$519000,2,2,2200,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
1025 SW Summit View Dr,$945000,4,2F11/2,4526,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
917 SW Palatine St,$885000,4,3F11/2,3738,Stephenson Elementary School,Jackson Middle School,Wilson High School
5321 NE Irving St ,$364900,2,2F11/2,1010,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
2323 SW Broadway Dr,$968000,4,2F11/2,3386,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
7945 SE 104th Ave,$410000,3,2F11/2,1740,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
1835 N Jantzen,$229000,2,1,987,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
4330 SE Madison St ,$319900,1,1,678,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
3825 SW 97th Ave,$565000,4,2,2647,Raleigh Park Elementary School,Whitford Middle School,Beaverton High School
1405 SE 168th Pl,$319950,3,2,1282,Patrick Lynch Elementary School,Centennial Middle School,Centennial High School
12818 SE Mill St,$579900,5,3F11/2,3098,Mill Park Elementary School,Ron Russell Middle School,David Douglas High School
15519 SE Belmore Hts,$439900,4,3,2409,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
1719 NW Irving St,$875000,4,2F11/2,3144,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
1811 N Colfax St,$514900,3,2F11/2,1635,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
1111 NE 37th Ave,$1165000,3,3F11/2,3341,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
2179 NW Hoyt St,$720000,3,1,2119,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
11108 SW 65th Ave,$385000,3,2,1273,Markham Elementary School,Jackson Middle School,Wilson High School
563 SW Carson St,$579900,3,2F11/2,1744,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
6623 N Astor St,$299000,2,1,768,James John Elementary School,George Middle School,Roosevelt High School
6969 SE Harney St,$379900,3,2F11/2,1462,Whitman Elementary School,Lane Middle School,Cleveland High School
3817 NE 11th Ave,$678000,4,3,2124,Sabin Elementary School,Harriet Tubman Middle School,Grant High School
590 NW Alpine Ter,$850000,2,2F11/2,2147,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7444 SW Laview Dr,$450000,2,1,1114,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
6906 SE Nehalem St,$275000,2,1,612,Whitman Elementary School,Lane Middle School,Cleveland High School
8168 N Delaware Ave,$669900,4,3F11/2,2430,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
14835 NE Sacramento St ,$259900,2,2,1336,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
2650 SW Cross Ave,$1350000,3,2F11/2,3572,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
9826 SE Caruthers St,$489000,5,2F11/2,2441,Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School
3919 NE Tillamook St,$575000,2,2F11/2,1848,Beverly Cleary School,Beverly Cleary School,Grant High School
19962 NW Quail Hollow Dr,$405000,3,3,1407,Lenox Elementary School,J W Poynter Middle School,Liberty High School
18700 NW Logie Trail Rd,$510000,3,1F11/2,2511,Skyline Elementary School,Skyline Elementary School,Lincoln High School
726 NW 11th Ave ,$464000,1,1,817,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7125 SW 3rd Ave,$699900,3,2,3548,Rieke Elementary School,Gray Middle School,Wilson High School
7301 SW 26th Ave,$499900,3,1,1597,Hayhurst Elementary School,Gray Middle School,Wilson High School
2706 SE 138th Ave ,$149900,2,1,796,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
2743 NW Thurman St ,$269000,1,1,651,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
924 NE 72nd Ave,$399900,3,1F11/2,1210,Vestal Elementary School,Roseway Heights School,Madison High School
4926 SW Corbett Ave ,$329995,2,2,1126,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
38 NE 148th Ave,$375000,3,2,1475,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
7345 NW Eleanor Ave,$358990,2,2F11/2,1384,Sato Elementary School,Stoller Middle School,Westview High School
13611 NW Glendoveer Dr,$999000,4,3,3645,Skyline Elementary School,Skyline Elementary School,Lincoln High School
7367 NW Eleanor Ave,$314990,2,2F11/2,1214,Sato Elementary School,Stoller Middle School,Westview High School
225 SW Carson St,$479900,4,1F11/2,2519,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
2349 NW Pinnacle Dr,$1376000,5,4F11/2,6444,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
3007 SE 18th Ave,$699900,3,2F21/2,2110,Abernethy Elementary School,Hosford Middle School,Cleveland High School
10921 SE Flavel St,$365000,3,2,1320,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
636 SE 156th Ave,$385000,3,1F11/2,1732,Parklane Elementary School,Centennial Middle School,Centennial High School
9525 SW 12th Dr,$649000,2,1F11/2,1910,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
13345 NW Glenridge Dr,$430000,2,2,1452,Terra Linda Elementary School,Cedar Park Middle School,Sunset High School
2799 SW Roswell Ave,$544900,2,2,1616,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
15161 NW Wendy Ln,$609999,4,2F11/2,2689,Jacob Wismer Elementary School,Stoller Middle School,Sunset High School
3114 SW Wilbard St,$649950,4,3F11/2,3652,Stephenson Elementary School,Jackson Middle School,Wilson High School
3927 NW Devoto Ln,$835800,5,4F11/2,5858,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
1323 SE Lambert St,$1590000,8,6F21/2,4924,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
17809 NE Marine Dr ,$549900,3,2,1801,Wilkes Elementary School,Hauton B Lee Middle School,Reynolds High School
10304 NE Tillamook St,$459900,6,2,2342,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
3311 SE 141st Ave,$319000,3,1F11/2,1612,Lincoln Park Elementary School,Alice Ott Middle School,David Douglas High School
15271 SE Flavel St,$469995,5,2F11/2,2701,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
66 NW Macleay Blvd,$673000,4,2F11/2,2757,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
99 SW Midvale Rd,$1019900,4,3,3080,Forest Hills Elementary School,Lake Oswego Middle School,Lake Oswego Senior High School
3507 NE Wasco St,$599950,4,2F11/2,3402,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
16430 NW Mcnamee Rd,$366000,3,2,1848,Skyline Elementary School,Skyline Elementary School,Lincoln High School
8055 SE Bybee Blvd,$599000,3,1,2316,Woodmere Elementary School,Lane Middle School,Franklin High School
7111 SW Florence Ln,$575000,4,3,3007,Montclair Elementary School,Whitford Middle School,Southridge High School
12031 SE Mill Ct,$359600,4,3F11/2,1692,Mill Park Elementary School,Floyd Light Middle School,David Douglas High School
8357 SW 24th Ave,$364900,2,2,1162,Maplewood Elementary School,Jackson Middle School,Wilson High School
15601 NW Clubhouse Dr,$375000,2,2F11/2,1666,Oak Hills Elementary School,Meadow Park Middle School,Westview High School
6837 N Montana Ave,$590000,2,1,1461,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
9180 SE Oak St,$438900,3,2F11/2,1671,Vestal Elementary School,Roseway Heights School,Madison High School
4175 NE Rodney Ave ,$799999,4,3F11/2,2311,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
3312 NE 48th Ave,$799500,4,3,3477,Alameda Elementary School,Beaumont Middle School,Grant High School
