Street,Price,Beds,Baths,Square Footage,Elementery School,Middle School,High School
7070 NE 7th Pl,$399900,3,1F21/2,1000,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
968 N Kilpatrick St,$393900,3,2F11/2,1621,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
3244 NE Us Grant Pl,$850000,3,2,2924,Beverly Cleary School,Beverly Cleary School,Grant High School
3134 NE 76th Ave,$269000,1,1,600,Lee Elementary School,Roseway Heights School,Madison High School
5345 NW Pondosa Dr,$449900,4,2,1737,Lenox Elementary School,J W Poynter Middle School,Liberty High School
2980 SW Garden View Ave,$729900,5,3,3229,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
1420 NW Lovejoy St ,$339900,1,1,779,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
300 NW 8th Ave ,$349900,1,1,725,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
1908 NE Siskiyou St,$935000,5,2F11/2,4011,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
2732 SE 120th Ave,$354900,3,2,2102,Mill Park Elementary School,Ron Russell Middle School,David Douglas High School
2835 NE 67th Ave,$425000,3,1,2190,Rose City Park,Roseway Heights School,Madison High School
1751 N Jantzen Ave ,$499000,4,2,2685,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
16950 SE Salmon St,$279900,4,1,1296,Alder Elementary School,Hauton B Lee Middle School,Reynolds High School
4576 SW Comus Pl ,$199999,2,2,1058,Markham Elementary School,Jackson Middle School,Wilson High School
1030 SE 60th Ave,$749899,5,3F11/2,2335,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
13115 SE Foster Rd ,$66000,3,2,1080,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
3722 SE Taylor St,$949950,3,2F21/2,2968,Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School
5627 SW Coronado St,$601900,4,2F11/2,2610,Markham Elementary School,Jackson Middle School,Wilson High School
4056 SE Mall St,$479900,3,2F11/2,1620,Grout Elementary School,Hosford Middle School,Cleveland High School
5677 SW Menefee Dr,$1695000,4,4F11/2,5327,Rieke Elementary School,Gray Middle School,Wilson High School
4116 N Borthwick Ave,$495000,2,1,1336,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
4954 NE Skidmore St,$749950,4,2F11/2,2493,Rigler Elementary School,Beaumont Middle School,Madison High School
659 N Tomahawk Island Dr,$375000,3,2F11/2,1917,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
14854 NE Eugene St,$334500,2,2,1242,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
10204 NW Alder Grove Ln,$277900,2,2,1280,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
2224 SE 145th Ave,$330000,3,1F11/2,1200,Parklane Elementary School,Centennial Middle School,Centennial High School
3935 SW Corbett Ave,$1000000,7,7,4811,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
4005 N Willamette Blvd,$670000,4,2,3226,Astor Elementary School,Astor Elementary School,Roosevelt High School
9742 NW Skyline Heights Dr,$1115000,4,3F11/2,5057,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
7036 NW Eleanor Ave,$515000,4,2F11/2,1744,Sato Elementary School,Stoller Middle School,Westview High School
4430 N Michigan Ave,$819900,4,3F11/2,2771,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
3275 NE Bryce St,$1375000,5,3F11/2,3848,Alameda Elementary School,Beaumont Middle School,Grant High School
3414 NE 54th Ave,$535000,3,2,2010,Alameda Elementary School,Beaumont Middle School,Grant High School
12403 SW 55th Pl,$855000,4,2F11/2,3409,Markham Elementary School,Jackson Middle School,Wilson High School
16768 NW Crossvine St,$799950,5,3,3669,Springville K-8 School,Stoller Middle School,Westview High School
5400 NE 30th Ave ,$254900,1,1,594,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
10218 N Barr Ave,$607500,4,3,2669,Sitton Elementary School,George Middle School,Roosevelt High School
3026 NE Oregon St,$650000,3,2,2592,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
9028 N Chautauqua Pl,$315000,3,1,858,Rosa Parks Elementary School,George Middle School,Roosevelt High School
1806 SW Taylors Ferry Rd,$699800,5,3,2516,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
4821 SW Seymour Ct,$475000,3,2,1289,Bridlemile Elementary School,Gray Middle School,Wilson High School
3011 SE 92nd Ave,$339900,3,2F11/2,1510,Harrison Park School,Harrison Park School,Madison High School
1506 SW Broadway Dr,$459000,3,2F11/2,1775,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
6310 SE Windsor Ct,$699999,4,2F11/2,2243,Atkinson Elementary School,Mt Tabor Middle School,Franklin High School
255 SW Harrison St ,$264000,1,1,744,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
6613 SE 83rd Ave,$339900,3,2,1040,Woodmere Elementary School,Lane Middle School,Franklin High School
2710 SE 138th Ave ,$139900,2,1,848,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
11827 NE San Rafael St,$269900,2,1,960,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
3039 NE 122nd Ave,$347900,3,1F11/2,1272,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
1214 SE 58th Ave,$1950000,6,4F21/2,6850,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
14601 SW 152nd Ave,$725000,4,3,3280,Alberta Rider Elementary School,Twality Middle School,Tualatin High School
5950 SE Tibbetts St,$499000,2,1,1388,Atkinson Elementary School,Mt Tabor Middle School,Franklin High School
5922 SE 138th Pl,$479000,4,2F11/2,1965,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
4005 NE Rodney Ave,$595000,3,3F11/2,1591,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
1730 SW Harbor Way ,$297000,1,1,684,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
1455 N Killingsworth St ,$299977,1,1,617,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
12281 NW Fernleaf Ln ,$903995,5,4,3783,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
12257 NW Fernleaf Ln ,$974995,5,4,4105,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
6247 SE Ogden St,$269900,3,2,1284,Woodmere Elementary School,Lane Middle School,Franklin High School
12308 NW Fernleaf Ln ,$852995,4,3F11/2,3679,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
3457 NE Davis St,$1080000,3,4,3005,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
9425 SW 51st Ave,$389000,3,2,1530,Markham Elementary School,Jackson Middle School,Wilson High School
5403 N Harvard St,$675000,5,3,3792,Astor Elementary School,Astor Elementary School,Roosevelt High School
2341 SE 170th Ave,$325000,3,2,1112,Patrick Lynch Elementary School,Centennial Middle School,Centennial High School
10117 NW Wilark Ave,$399900,2,2,1446,Skyline Elementary School,Skyline Elementary School,Lincoln High School
5740 NW Skyline Blvd,$825000,3,3,3035,Skyline Elementary School,Skyline Elementary School,Lincoln High School
621 NW Skyline Blvd,$899950,3,3,3473,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
35 NE 55th Ave,$649900,4,3F11/2,2756,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
26 SE 69th Ave,$699900,3,2F11/2,2370,Vestal Elementary School,Roseway Heights School,Madison High School
2770 NE Weidler St,$699900,3,3F11/2,2426,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
2760 NE Weidler St,$699900,3,3F11/2,2426,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
4150 NE Cleveland Ave,$749900,3,3F11/2,2458,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
5914 SE 138th Pl,$479000,4,2F11/2,1965,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
3939 N Marine Dr,$389000,2,2,1510,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
1929 SW Carter Ln,$799000,2,2F11/2,2433,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
111 SW Harrison St ,$274950,1,1,742,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
2796 SW Montgomery Dr,$1225000,5,5,3802,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
4880 SW Scholls Ferry Rd ,$574900,3,3,2715,Raleigh Hills Elementary School,Whitford Middle School,Beaverton High School
6444 NE Going St,$430000,3,2,1518,Scott Elementary School,Roseway Heights School,Madison High School
1722 SW Custer St,$729900,5,3F11/2,2928,Rieke Elementary School,Gray Middle School,Wilson High School
7176 N Vancouver Ave,$589000,3,2F11/2,1507,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
7152 N Vancouver Ave,$589000,3,2F11/2,1523,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
7168 N Vancouver Ave,$589000,3,2F11/2,1509,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
7184 N Vancouver Ave,$589000,3,2F11/2,1509,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
418 N Bridgeton Rd,$459950,2,2F11/2,2304,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
5637 SW 87th Ave ,$1275000,4,3F11/2,3515,Raleigh Hills Elementary School,Whitford Middle School,Beaverton High School
133 SE 55th Ave,$1300000,4,5F11/2,3734,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
3409 NE Simpson St,$489000,3,2,1804,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
3641 SE Crystal Springs Blvd,$674900,4,3F11/2,2451,Duniway Elementary School,Sellwood Middle School,Cleveland High School
3645 SE Crystal Springs Blvd,$674900,4,3F11/2,2415,Duniway Elementary School,Sellwood Middle School,Cleveland High School
4611 NW 130th Ave,$925000,5,3F11/2,3866,Findley Elementary School,Stoller Middle School,Sunset High School
14421 NW Springville Rd,$1490000,4,3F11/2,4797,Skyline Elementary School,Skyline Elementary School,Lincoln High School
1503 N Hayden Island Dr,$155950,2,2,1440,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
5975 N Michigan Ave,$499900,3,3F11/2,1483,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
3015 SW 107th Ave,$975000,4,3F11/2,3085,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
5316 SE 18th Ave,$399000,3,1,840,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
4715 SE 94th Ave,$430000,7,3,2912,Lent Elementary School,Lent Elementary School,Franklin High School
9601 NW Leahy Rd ,$409000,4,2,1617,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
7325 SE Milwaukie Ave,$650000,2,2F11/2,2336,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
1314 NW Irving St ,$1295000,3,2,2404,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
15211 NW Aberdeen Dr,$760000,3,3,3302,Oak Hills Elementary School,Meadow Park Middle School,Sunset High School
5983 N Michigan Ave,$499900,3,3F11/2,1483,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
3042 NW Parkhurst Ter,$699900,6,4,3005,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
1993 SW Abercrombie Pl,$774900,4,3F11/2,3461,William Walker Elementary School,Cedar Park Middle School,Beaverton High School
2936 SE 18th Ave,$599900,3,3,2620,Abernethy Elementary School,Hosford Middle School,Cleveland High School
5971 N Michigan Ave,$499900,3,3F11/2,1508,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
5979 N Michigan Ave,$499900,3,3F11/2,1508,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
3515 SW Shattuck Rd,$939000,4,3,3534,Bridlemile Elementary School,Gray Middle School,Wilson High School
838 SE 38th Ave ,$375000,1,1F11/2,822,Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School
5991 N Michigan Ave,$499900,3,2F11/2,1403,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
12308 SE Long St,$249900,2,1F11/2,1324,Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School
10435 SE Oak St,$310000,3,2,1591,Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School
9608 N Oregonian Ave,$299900,3,1F21/2,1164,James John Elementary School,George Middle School,Roosevelt High School
12029 SW Lesser Rd,$549900,4,2,2423,Markham Elementary School,Jackson Middle School,Wilson High School
2702 SE 138th Ave ,$145900,1,1,720,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
4043 NE 80th Ave,$389900,3,1,1868,Scott Elementary School,Roseway Heights School,Madison High School
3025 SE Cesar E Chavez Blvd,$365000,3,1,2132,Abernethy Elementary School,Hosford Middle School,Cleveland High School
2339 NW Miller Rd ,$429900,2,2F11/2,1562,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
515 NW 114th Ave,$619000,4,3,2688,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
6312 NE 11th Ave,$639900,5,3F11/2,2535,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
6318 NE 11th Ave,$634900,5,3F11/2,2555,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
8524 SW 10th Ave,$417900,3,2,1290,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
12604 NW Barnes Rd ,$159900,2,1,812,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
3969 N Overlook Ter,$1199000,3,3,3372,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
3224 SE 153rd Ave,$225000,2,2,1506,Powell Butte Elementary School,Centennial Middle School,Centennial High School
2732 SE 138th Ave ,$153900,2,1,844,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
14805 NW Deerfoot Ln,$549900,4,3,2390,Jacob Wismer Elementary School,Stoller Middle School,Westview High School
1804 SW Miles St,$400000,3,1,960,Rieke Elementary School,Gray Middle School,Wilson High School
5011 SW Orchid St,$445000,3,2,1680,Markham Elementary School,Jackson Middle School,Wilson High School
4505 NE 25th Ave,$849999,5,3,2751,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
5674 NE 15th Ave,$759000,3,2F11/2,2484,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
15710 NW Brugger Rd,$397995,3,2F11/2,1862,Sato Elementary School,Stoller Middle School,Westview High School
2565 NE 33rd Ave,$599999,3,2,2732,Beverly Cleary School,Beverly Cleary School,Grant High School
411 NE 43rd Ave,$1050000,4,3F11/2,3188,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
3827 SW Dolph Ct,$575000,4,3,2610,Maplewood Elementary School,Jackson Middle School,Wilson High School
8130 SE 75th Pl,$325000,3,1,946,Whitman Elementary School,Lane Middle School,Cleveland High School
3012 SE 138th Ave,$339000,2,2,1732,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
5987 N Michigan Ave,$499900,3,3F11/2,1513,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
12878 NW Milazzo Ln,$560000,3,2F11/2,2216,Findley Elementary School,Stoller Middle School,Sunset High School
8697 SE Washington St,$725000,6,3F11/2,2289,Harrison Park School,Harrison Park School,Madison High School
8543 SW Jamieson Rd,$1290000,11,4F61/2,5820,Raleigh Hills Elementary School,Whitford Middle School,Beaverton High School
9312 NW Murdock St,$930000,5,3F11/2,4374,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
2737 SE 87th Ave,$295000,3,2,1134,Harrison Park School,Harrison Park School,Madison High School
6303 SE Woodstock Blvd ,$274950,2,1,878,Woodstock Elementary School,Hosford Middle School,Cleveland High School
4075 SE Woodward St,$874950,4,3F11/2,2950,Creston Elementary School,Creston Elementary School,Franklin High School
4104 SE Ash St,$750000,5,2,4040,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
4438 SW Hamilton Ter,$1095000,4,2F11/2,3791,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
11606 NE Sandy Blvd,$849900,6,2F21/2,2964,Prescott Elementary School,Parkrose Middle School,Parkrose High School
7186 NW Elise Ave ,$369990,3,3F11/2,1625,Sato Elementary School,Stoller Middle School,Westview High School
7022 SE 84th Ave,$450000,3,2,1930,Kelly Elementary School,Lane Middle School,Franklin High School
14715 SE Market Ct,$329169,2,1,1716,Parklane Elementary School,Centennial Middle School,Centennial High School
14312 NE Knott St,$379900,3,2,2602,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
4532 SE 28th Ave,$435000,3,2F11/2,1336,Grout Elementary School,Hosford Middle School,Cleveland High School
13508 NW Springville Rd,$849900,3,2,4397,Skyline Elementary School,Skyline Elementary School,Lincoln High School
7655 NE Alameda St,$699000,2,2,3520,Lee Elementary School,Roseway Heights School,Madison High School
6317 SE 92nd Ave ,$214900,1,1,390,Kelly Elementary School,Lane Middle School,Franklin High School
16110 NW Reliance Ln,$419995,3,2F11/2,1763,Sato Elementary School,Stoller Middle School,Westview High School
3327 SW Water Ave,$395000,2,1,2115,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
