Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
3025 SE Cesar E Chavez Blvd,$365000,3,1,2132,"$3,483",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1926
8524 SW 10th Ave,$417900,3,2,1290,"$6,426",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1991
3969 N Overlook Ter,$1199000,3,3,3372,"$7,863",Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1947
3224 SE 153rd Ave,$225000,2,2,1506,"$3,526",Powell Butte Elementary School,Centennial Middle School,Centennial High School,1980
2732 SE 138th Ave ,$153900,2,1,844,"$1,866",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,1977
1804 SW Miles St,$400000,3,1,960,"$4,218",Rieke Elementary School,Gray Middle School,Wilson High School,1970
5011 SW Orchid St,$445000,3,2,1680,"$6,091",Markham Elementary School,Jackson Middle School,Wilson High School,1973
4505 NE 25th Ave,$849999,5,3,2751,"$7,244",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,2017
2565 NE 33rd Ave,$599999,3,2,2732,"$6,360",Beverly Cleary School,Beverly Cleary School,Grant High School,1939
411 NE 43rd Ave,$1050000,4,3F11/2,3188,"$7,583",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1914
3827 SW Dolph Ct,$575000,4,3,2610,"$6,204",Maplewood Elementary School,Jackson Middle School,Wilson High School,1919
8130 SE 75th Pl,$325000,3,1,946,"$3,423",Whitman Elementary School,Lane Middle School,Cleveland High School,1966
3012 SE 138th Ave,$339000,2,2,1732,"$3,230",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,1927
11737 SE Salmon St,$199900,2,1,672,"$2,484",Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School,1949
9312 NW Murdock St,$930000,5,3F11/2,4374,"$15,801",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2003
2737 SE 87th Ave,$295000,3,2,1134,"$4,280",Harrison Park School,Harrison Park School,Madison High School,1994
7018 N Hodge Ave,$649900,4,2F11/2,2287,"$1,663",Astor Elementary School,Astor Elementary School,Roosevelt High School,1928
4075 SE Woodward St,$874950,4,3F11/2,2950,"$1,349",Creston Elementary School,Creston Elementary School,Franklin High School,1924
4104 SE Ash St,$750000,5,2,4040,"$8,772",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1916
4438 SW Hamilton Ter,$1095000,4,2F11/2,3791,"$16,352",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,2002
11606 NE Sandy Blvd,$849900,6,2F21/2,2964,"$3,146",Prescott Elementary School,Parkrose Middle School,Parkrose High School,1934
7022 SE 84th Ave,$450000,3,2,1930,"$4,143",Kelly Elementary School,Lane Middle School,Franklin High School,1913
14715 SE Market Ct,$329169,2,1,1716,"$3,980",Parklane Elementary School,Centennial Middle School,Centennial High School,1949
14312 NE Knott St,$379900,3,2,2602,"$4,412",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1964
4532 SE 28th Ave,$435000,3,2F11/2,1336,"$5,026",Grout Elementary School,Hosford Middle School,Cleveland High School,1996
13508 NW Springville Rd,$849900,3,2,4397,"$9,754",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1957
7655 NE Alameda St,$699000,2,2,3520,"$8,173",Lee Elementary School,Roseway Heights School,Madison High School,1953
3327 SW Water Ave,$395000,2,1,2115,"$4,185",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1894
3618 NE 154th Ave,$240000,3,2F11/2,1512,"$3,247",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,2003
925 NE 74th Ave,$469900,4,2,2578,"$5,311",Vestal Elementary School,Roseway Heights School,Madison High School,1890
15330 SE Yamhill St,$317000,3,1F11/2,1244,"$3,582",Parklane Elementary School,Centennial Middle School,Centennial High School,1966
10527 SE Raymond St,$297500,3,1F11/2,1580,"$3,211",Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School,1954
1514 NE Highland St,$450000,4,1F11/2,1881,"$2,472",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1910
4900 NE 18th Ave,$849900,4,2,4800,"$2,211",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,1909
3617 SW Vesta St,$349000,3,2F11/2,1702,"$7,033",Markham Elementary School,Jackson Middle School,Wilson High School,1999
7503 N Kerby Ave,$399000,4,3,2704,"$4,830",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1928
814 SE Sherrett St,$449900,3,1,1794,"$3,920",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1912
4708 NE 60th Ave,$399000,3,2F11/2,1456,"$5,531",Scott Elementary School,Roseway Heights School,Madison High School,1997
3316 SE 23rd Ave,$950000,7,2,4094,"$5,838",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1923
8704 SE 9th Ave,$435000,3,2F11/2,1273,"$4,751",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1993
2470 NW Thurman St,$995000,2,2F11/2,1983,"$13,542",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2005
3724 SE 148th Ave,$369900,4,2F11/2,1411,"$4,326",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,1968
1568 NE 74th Ave,$499000,3,2F11/2,1837,"$4,355",Vestal Elementary School,Roseway Heights School,Madison High School,2017
2419 NW Birkendene St,$769000,4,2F11/2,3557,"$12,889",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1994
10428 NE Pacific St,$349950,3,1,1314,"$3,992",Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School,1939
10450 SW 53rd Ave,$739000,5,3,3959,"$8,312",Markham Elementary School,Jackson Middle School,Wilson High School,1951
7625 N Van Houten Ave,$399500,3,1,1646,"$4,530",Astor Elementary School,Astor Elementary School,Roosevelt High School,1924
3312 SE 165th Pl,$309900,3,2,1080,"$3,162",Powell Butte Elementary School,Centennial Middle School,Centennial High School,1958
220 N Hayden Bay Dr,$444000,2,2F11/2,2091,"$7,205",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1973
2131 NE Saratoga St,$475000,3,2,1704,"$4,894",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1946
5825 SW 59th Ct,$499000,3,2F11/2,1881,"$7,760",Hayhurst Elementary School,Gray Middle School,Wilson High School,1987
636 NW Albemarle Ter,$1900000,4,2F11/2,4801,"$24,384",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1921
7621 SE Crystal Springs Blvd,$356900,3,2F11/2,1416,"$3,407",Whitman Elementary School,Lane Middle School,Cleveland High School,2003
414 N Rosa Parks Way,$399900,2,1,1392,"$2,675",Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools,1927
12415 NE Brazee St,$375000,3,3,2365,"$4,328",Russell Elementary,Parkrose Middle School,Parkrose High School,1944
4023 SE 65th Ave,$375000,3,1,1741,"$3,759",Arleta Elementary School,Arleta Elementary School,Franklin High School,1906
7325 SE 22nd Ave,$575000,3,2,2213,"$4,930",Llewellyn Elementary School,Sellwood Middle School,Cleveland High School,1926
8243 NE Wygant St,$344900,3,1,1064,"$2,694",Russell Elementary,Parkrose Middle School,Parkrose High School,1949
4406 NE 13th Ave,$699000,4,2,2520,"$1,512",Sabin Elementary School,Harriet Tubman Middle School,Grant High School,1908
9001 N Trumbull Ave,$548000,2,1,1719,"$3,130",Sitton Elementary School,George Middle School,Roosevelt High School,1943
4344 SW Hillside Dr,$890000,4,3F11/2,3910,"$14,707",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,2000
2328 SE 139th Ave,$399900,4,2F11/2,2036,"$4,282",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,2008
2818 NE 15th Ave,$824000,5,2F11/2,3980,"$6,819",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1917
222 N Hayden Bay Dr,$389900,3,2,2015,"$5,674",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1973
2775 NW Upshur St ,$468000,3,2,1342,"$7,464",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1984
5515 SW 63rd Ave,$1150000,4,3F11/2,3707,"$15,054",Hayhurst Elementary School,Gray Middle School,Wilson High School,1999
3611 SW Condor Ave,$525000,3,1F21/2,2286,"$8,697",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1898
7424 SE Ogden St,$370000,3,1F11/2,1254,"$3,739",Whitman Elementary School,Lane Middle School,Cleveland High School,1947
3829 SE 149th Ave,$347000,3,1,1508,"$2,488",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,1964
6241 SE 142nd Ave,$225000,3,2,1269,"$3,228",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1999
1609 SE Umatilla St,$749000,4,3,2398,"$4,118",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1890
5950 SW Riveridge Ln,$464000,2,2F11/2,1286,"$5,920",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1980
4804 NE 106th Ave,$410000,3,2F11/2,2791,"$3,816",Prescott Elementary School,Parkrose Middle School,Parkrose High School,1912
3744 SE Steele St,$429900,3,2,1132,"$4,699",Grout Elementary School,Hosford Middle School,Cleveland High School,1972
1224 NE 81st Ave,$549900,3,2,1569,"$2,369",Vestal Elementary School,Roseway Heights School,Madison High School,1920
4205 SE 80th Ave,$379900,3,2F11/2,1714,"$6,064",Marysville Elementary School,Marysville Elementary School,Franklin High School,1929
4209 SE 80th Ave,$379900,3,2F11/2,1714,"$6,064",Marysville Elementary School,Marysville Elementary School,Franklin High School,1929
4215 SE 80th Ave,$379900,3,2F11/2,1714,"$6,064",Marysville Elementary School,Marysville Elementary School,Franklin High School,1929
1319 NE 126th Ave,$329000,3,2,1983,"$3,778",Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School,1956
4219 SE 80th Ave,$379900,3,2F11/2,1714,"$6,064",Marysville Elementary School,Marysville Elementary School,Franklin High School,1929
8320 SW 33rd Ave,$550000,3,3,2128,"$7,420",Maplewood Elementary School,Jackson Middle School,Wilson High School,1968
7931 SW 40th Ave ,$220000,2,2,893,"$3,905",Maplewood Elementary School,Jackson Middle School,Wilson High School,1990
456 NW Skyline Blvd,$974900,4,5,4248,"$11,716",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1997
9908 SE Mount Scott Blvd,$499000,4,1F11/2,3725,"$8,618",Kelly Elementary School,Lane Middle School,Franklin High School,1927
1422 SE 51st Ave,$609900,4,3,2430,"$4,682",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1911
3410 SE 119th Ave,$320000,2,1,1288,"$2,666",Mill Park Elementary School,Ron Russell Middle School,David Douglas High School,1924
1233 N Winchell St,$475000,3,2,1536,"$3,715",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1977
1710 SW Harbor Way ,$345000,1,1,819,"$4,747",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1986
7010 SW Brier Pl,$550000,5,2,2866,"$9,388",Rieke Elementary School,Gray Middle School,Wilson High School,1890
9240 N Mohawk Ave,$450000,4,2F11/2,1692,"$4,722",James John Elementary School,George Middle School,Roosevelt High School,2005
345 N Lotus Beach Dr,$749900,2,2F11/2,3060,"$12,974",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1982
9726 NW Sunrise Ln,$1599900,6,4F21/2,6451,"$26,068",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2005
3326 N Farragut St,$485000,3,3,2379,"$4,233",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1929
3825 SE Center St,$429900,3,1,1330,"$4,640",Grout Elementary School,Hosford Middle School,Cleveland High School,1982
704 NE Killingsworth Ct,$310000,4,2,2048,"$1,398",King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1907
2049 NW Overton St ,$379000,1,1,727,"$4,088",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1925
15751 SE Powell Blvd,$339999,6,2,2622,"$3,136",Powell Butte Elementary School,Centennial Middle School,Centennial High School,1926
10618 NW 4th Pl,$649900,4,3F11/2,4824,"$4,635",Skyline Elementary School,Skyline Elementary School,Lincoln High School,2009
10001 SW Riverside Dr,$997500,5,2F11/2,4986,"$12,397",Riverdale Grade School,Riverdale Grade School,Riverdale High School,1908
10601 NW 4th St,$369900,1,1,1308,"$3,170",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1907
2933 SE 136th Ave,$299000,3,2,1778,"$3,281",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,2000
5944 SW View Point Ter,$439000,3,2,1056,"$5,901",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1973
10832 NE Siskiyou St,$417000,4,3,2525,"$3,321",Sacramento Elementary School,Parkrose Middle School,Parkrose High School,1949
700 SW 48th Dr,$1440000,3,3F11/2,3752,"$24,322",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1969
6449 NE 33rd Ave,$449900,5,2,2518,"$4,375",Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools,1913
3804 SE 27th Ave,$459900,3,1,1010,"$3,685",Grout Elementary School,Hosford Middle School,Cleveland High School,1951
1828 SE Main St,$875000,5,4F11/2,3655,"$11,531",Buckman Elementary School,Hosford Middle School,Cleveland High School,2010
6035 SE Tenino St,$275000,2,1,1188,"$4,143",Whitman Elementary School,Lane Middle School,Cleveland High School,1923
2004 NW Norfolk Ct,$650000,4,2F11/2,3323,"$11,365",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1999
5615 NE 35th Ave,$639900,4,2F11/2,2978,"$4,478",Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools,1926
5400 NE Rodney Ave,$974900,7,3F21/2,5147,"$9,214",King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1909
2341 SE 154th Ave,$425000,3,2,1704,"$4,275",Parklane Elementary School,Centennial Middle School,Centennial High School,1975
125 NE 80th Ave,$350000,2,1F11/2,1904,"$3,130",Vestal Elementary School,Roseway Heights School,Madison High School,1925
10224 N Tioga Ave,$309900,3,1,1099,"$2,015",Sitton Elementary School,George Middle School,Roosevelt High School,1923
1680 SW Montgomery Dr,$2799000,3,2F21/2,4664,"$39,043",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,2002
13705 NE Halsey St,$349800,2,1,1251,"$3,399",Russell Elementary,Parkrose Middle School,Parkrose High School,1954
5252 NE 27th Ave,$460000,4,2,2520,"$2,531",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,1908
1322 SE 114th Ave,$399950,3,2,1392,"$4,094",Mill Park Elementary School,Floyd Light Middle School,David Douglas High School,1965
169 N Lotus Beach Dr,$614900,3,3,3075,"$12,133",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1980
133 SE 55th Ave ,$874900,5,3,2942,"$4,607",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1926
5531 NE Cleveland Ave,$724000,4,2F11/2,3408,"$5,484",Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1907
11721 SW Riverwood Rd,$1395000,4,3F11/2,2928,"$12,282",Riverdale Grade School,Riverdale Grade School,Riverdale High School,1911
6517 NE Emerson St,$399900,3,2,1622,"$4,039",Scott Elementary School,Roseway Heights School,Madison High School,1988
6821 N Montana Ave,$400000,2,1,972,"$2,487",Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools,1925
2802 NW Ariel Ter,$880000,3,3,2201,"$12,077",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1981
6355 N Greeley Ave,$399900,4,2,1929,"$3,588",Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools,1906
2461 NE Sumner St,$699900,4,3F11/2,2642,"$11,505",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,1927
5207 NE 25th Ave,$674900,4,3F11/2,2462,"$11,505",Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools,1927
7049 SE 35th Ave,$725000,4,1F11/2,2660,"$10,486",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1926
4255 SE 117th Ave,$599000,6,3,2918,"$5,253",West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School,1966
1026 NE 109th Ave,$359000,2,1,1172,"$3,932",Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School,1951
4165 SE 37th Ave,$425000,3,2F11/2,1582,"$5,042",Grout Elementary School,Hosford Middle School,Cleveland High School,2015
2835 SE Carlton St,$1549950,5,4F11/2,5215,"$23,935",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1924
4915 N Interstate Ave,$499900,4,1F11/2,2690,"$3,962",Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1909
615 NE 81st Ave,$359900,3,1,1718,"$4,224",Vestal Elementary School,Roseway Heights School,Madison High School,1951
10605 SE Clinton St,$339900,3,2,1789,"$4,405",Harrison Park School,Harrison Park School,Madison High School,1983
1821 NE 25th Ave,$419000,2,2,1015,"$6,141",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1972
1702 SE 59th Ave,$699950,3,2,2642,"$5,759",Atkinson Elementary School,Mt Tabor Middle School,Franklin High School,1926
6255 SW Tower Way,$749900,4,2F21/2,3562,"$11,574",Hayhurst Elementary School,Gray Middle School,Wilson High School,1957
136 NE 117th Ave,$489000,4,2,2548,"$2,882",Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School,1900
5720 SE Jenne Rd,$389000,3,2,1496,"$3,300",Pleasant Valley Elementary School,Centennial Middle School,Centennial High School,1950
46 NE 148th Ave,$395000,3,1,1094,"$3,194",Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School,1951
1326 NE 155th Ave,$249900,2,1,768,"$2,594",Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School,1943
11938 SW 60th Ave,$1099000,4,3F11/2,3393,"$4,274",Markham Elementary School,Jackson Middle School,Wilson High School,1932
8023 SW Ruby Ter,$620000,3,2F11/2,3410,"$11,956",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1954
651 SE 148th Ave ,$169000,3,1,1322,"$2,586",Parklane Elementary School,Centennial Middle School,Centennial High School,1939
5225 NE Garfield Ave,$625000,5,2,3411,"$2,897",King Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1908
5212 NE 62nd Ave,$475000,4,2,1668,"$3,682",Scott Elementary School,Roseway Heights School,Madison High School,1942
9845 NW Silver Ridge Loop,$387000,2,2F11/2,1523,"$7,324",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1994
2333 NE Multnomah St,$739900,3,2F11/2,2993,"$7,525",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1906
9643 NW Silver Ridge Loop,$378000,3,2,1350,"$6,620",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1994
11421 SE Salmon St,$399900,5,1F11/2,2662,"$4,879",Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School,1957
2737 SW English Ct,$1250000,5,3F11/2,4191,"$18,739",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1941
3814 SE Martins St,$1229000,5,1F11/2,4956,"$16,313",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1892
1911 SE 97th Ave,$375000,4,1F11/2,2368,"$4,043",Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School,1956
1135 SE 80th Ave,$950000,2,1,1263,"$4,584",Bridger Elementary School,Bridger Elementary School,Franklin High School,1921
3062 NW Montara Loop,$599000,2,2,1563,"$9,116",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2014
2322 SW Sheffield Ave,$1200000,3,3F11/2,3316,"$15,722",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1993
7731 SE Tolman St,$399900,3,1,1664,"$3,410",Woodmere Elementary School,Lane Middle School,Franklin High School,1912
9421 E Burnside St,$524800,2,1,1443,"$3,101",Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School,1898
10549 NW Skyline Blvd,$449500,3,3,1312,"$5,993",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1937
10632 SE Cora St,$279900,3,1,960,"$2,567",Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School,1955
3707 SW Baird St,$649950,4,3,2970,"$4,733",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1947
7221 N Catlin Ave,$358000,2,1,1658,"$3,873",Sitton Elementary School,George Middle School,Roosevelt High School,1910
9715 NW Newton Rd,$950000,5,4,4110,"$16,006",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1958
395 NW Brynwood Ln,$3250000,4,3,3850,"$21,440",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1963
220 SE 132nd Ave,$349900,3,2,1554,"$4,140",Russell Elementary,Parkrose Middle School,Parkrose High School,1977
1415 NE 21st Ave ,$279900,2,1,964,"$3,556",Buckman Elementary School,Hosford Middle School,Cleveland High School,1949
3125 NE Cesar E Chavez Blvd,$799900,2,2F11/2,1770,"$6,898",Alameda Elementary School,Beaumont Middle School,Grant High School,1925
6224 SE Harney St,$449900,5,4,2115,"$5,641",Whitman Elementary School,Lane Middle School,Cleveland High School,1997
4630 SW Water Ave,$565000,3,2,2522,"$6,796",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1909
5862 SW Ralston Dr,$750000,4,2F11/2,2859,"$9,681",Rieke Elementary School,Gray Middle School,Wilson High School,2015
3718 SW Hillside Dr,$1334999,4,3F11/2,4448,"$7,348",Bridlemile Elementary School,Gray Middle School,Wilson High School,1912
2726 SW 28th Dr,$699900,4,3F11/2,4713,"$14,630",Stephenson Elementary School,Jackson Middle School,Wilson High School,1989
14302 SE Main St,$345000,4,1,1460,"$3,899",Parklane Elementary School,Centennial Middle School,Centennial High School,1939
8034 SE 42nd Ave,$479900,4,2,1536,"$4,288",Lewis Elementary School,Sellwood Middle School,Cleveland High School,1940
11520 SE Harold St,$279900,2,1,720,"$1,880",Earl Boyles Elementary,Ron Russell Middle School,David Douglas High School,1929
3553 SE Long St,$754900,4,3F11/2,2860,"$7,968",Grout Elementary School,Hosford Middle School,Cleveland High School,1945
7936 SE 64th Ave,$374999,4,2,1264,"$2,942",Whitman Elementary School,Lane Middle School,Cleveland High School,1960
2002 SW Dolph Ct,$599000,3,2F11/2,3395,"$5,550",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1917
3636 NE 149th Ave,$375000,4,2F11/2,2221,"$5,682",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1995
1030 NW 12th Ave ,$449000,1,1,712,$0,Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2013
3165 NE Multnomah St,$599900,3,2F11/2,1998,"$4,043",Beverly Cleary School,Beverly Cleary School,Grant High School,1924
2649 NW Kennedy Ct,$393000,3,3,1675,"$5,978",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2003
1616 SW Harbor Way ,$390500,2,2,1038,"$7,695",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1986
14918 SE Main St,$290000,3,2,1180,"$4,353",Parklane Elementary School,Centennial Middle School,Centennial High School,2004
6807 SE Morrison St,$899900,5,3,3600,"$7,636",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1912
2343 NE 11th Ave,$629000,3,2,2812,"$8,427",Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School,1926
7456 N Stockton,$549900,3,2F11/2,1693,$362,Astor Elementary School,Astor Elementary School,Roosevelt High School,1943
7460 N Stockton Ave,$564900,3,2F11/2,1802,$891,Astor Elementary School,Astor Elementary School,Roosevelt High School,1894
280 NE 60th Ave ,$236900,1,1,634,"$2,777",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1945
227 SW Florida St,$955000,4,3F11/2,4297,"$14,246",Rieke Elementary School,Gray Middle School,Wilson High School,2003
1025 SW Bertha Blvd ,$200000,2,1,1001,"$3,407",Rieke Elementary School,Gray Middle School,Wilson High School,1961
1616 NW Northrup St,$999999,6,4,2884,"$11,259",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1900
10627 NE Fargo St,$329999,4,3,2520,"$6,519",Sacramento Elementary School,Parkrose Middle School,Parkrose High School,1962
2524 NE 63rd Ave,$750000,5,2F11/2,2291,"$5,992",Rose City Park,Roseway Heights School,Madison High School,1923
8110 SW 6th Ave,$870000,4,4,4520,"$14,192",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1963
2896 SW Patton Rd,$3850000,5,5F11/2,8155,"$62,492",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1928
9149 NW Mckenna Dr,$875000,5,4F11/2,4698,"$17,444",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1999
12336 NE Brazee St,$364900,4,1F11/2,2618,"$3,663",Russell Elementary,Parkrose Middle School,Parkrose High School,1943
309 N Bridgeton Rd ,$254000,2,1,720,"$2,014",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1985
13610 SE Steele St,$252500,2,2F11/2,2324,"$3,356",Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School,2000
9327 SE Alder St,$339000,2,1,786,"$3,016",Harrison Park School,Harrison Park School,Madison High School,1949
6855 NE Morris St,$570000,4,3,3232,"$6,664",Rose City Park,Roseway Heights School,Madison High School,1916
10707 SW Riverside Dr,$1599500,4,4F11/2,4000,"$29,042",Riverdale Grade School,Riverdale Grade School,Riverdale High School,1928
3629 SE Crystal Springs Blvd,$674900,4,2,3086,"$8,054",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1942
11301 SW Military Rd,$1350000,5,2F11/2,3709,"$11,632",Riverdale Grade School,Riverdale Grade School,Riverdale High School,1962
9438 N Gilbert Ave,$375000,3,1F11/2,1256,"$3,010",James John Elementary School,George Middle School,Roosevelt High School,1957
4933 N Haight Ave,$350000,4,1,2292,"$1,618",Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1910
3631 N Vancouver Ave,$410000,3,2,1195,"$3,254",Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools,1995
9180 N Polk Ave,$448900,4,2F11/2,1822,"$2,847",James John Elementary School,George Middle School,Roosevelt High School,1944
1234 SW 57th Ave,$1290000,5,4,3700,"$10,546",Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School,1968
4518 N Fessenden St,$450000,3,2F11/2,2214,"$5,731",Rosa Parks Elementary School,George Middle School,Roosevelt High School,2007
5925 N Delaware Ave,$549000,5,3,2762,"$5,530",Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1913
10334 NW Engleman St,$900000,6,3F11/2,4481,"$13,530",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1995
5241 SW Humphrey Blvd,$595000,5,3,3930,"$12,396",Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School,1956
315 SW Troy St,$529000,4,3,2888,"$10,042",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1954
10436 SE Reedway St,$300000,3,1,2040,"$3,754",Lent Elementary School,Lent Elementary School,Franklin High School,1944
3315 N Russet St,$350000,5,4,2224,"$3,724",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1924
2909 SW Upper Dr,$499000,3,2,2175,"$7,921",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1912
3056 SW Fairmount Blvd,$725000,3,3,2918,"$14,938",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1959
