Street,Price,Beds,Baths,Square Footage
6342 SE 86th Ave,$369000,4,2F11/2,1631
11834 SE Ash St,$258000,2,1,900
9173 SW Salmon St,$825000,6,3,3938
1440 NE 76th Ave,$435000,4,2,2164
6746 SE 75th Ave,$315000,3,2,1186
4576 NE 47th Ave,$425000,2,1F11/2,1040
4794 NE Going St,$420000,2,1F11/2,1012
4754 NE Going St,$420000,2,1F11/2,1012
4798 NE Going St,$530000,4,2F11/2,1574
4548 NE 47th Ave,$495000,3,2,1393
10936 NE Wygant St,$299900,4,2,2775
4548 NE 47th Ave,$495000,3,2,1393
4556 NE 47th Ave,$530000,4,2F11/2,1574
4794 NE Going St,$420000,2,1F11/2,1012
4798 NE Going St,$530000,4,2F11/2,1574
4788 NE Going St,$525000,4,2F11/2,1574
4746 NE Going St,$425000,2,1F11/2,992
4746 NE Going St,$425000,2,1F11/2,992
4754 NE Going St,$420000,2,1F11/2,1012
4588 NE 47th Ave,$425000,2,1F11/2,992
4576 NE 47th Ave,$425000,2,1F11/2,1040
5547 SE 119th Ave,$365000,4,1F11/2,1472
3907 N Albina Ave,$750000,3,2,1932
18305 NE Marine Dr #B11,$349000,2,2,1600
4010 SW Pomona St,$769900,4,3,3091
11350 NW Valros Ln,$699950,4,2F11/2,2780
4384 SE Nehalem St,$689900,3,2F11/2,2603
10521 SW 11th Dr,$758900,2,2,2427
8039 SE Carlton St #1,$249000,2,1F11/2,985
8039 SE Carlton St,$249000,2,1F11/2,985
7700 SE Mitchell St,$377000,3,2,1693
3413 SE Division St,$849000,3,2F11/2,2213
6609 NE Rodney Ave,$799000,3,2F11/2,2914
4744 NE Going St,$530000,4,2F11/2,1574
2914 NE 50th Ave,$975900,5,3F11/2,3254
1150 NW Quimby St #1206,$1137500,2,2F11/2,1612
4556 NE 47th Ave,$530000,4,2F11/2,1574
4788 NE Going St,$525000,4,2F11/2,1574
4572 NE 47th Ave,$425000,2,1F11/2,1040
4572 NE 47th Ave,$425000,2,1F11/2,1040
4744 NE Going St,$530000,4,2F11/2,1574
4588 NE 47th Ave,$425000,2,1F11/2,992
5112 NE 23rd Ave,$899900,5,3F11/2,2602
3251 NW Luray Ter,$699000,4,3,3653
1620 NW Riverscape St,$609000,2,2F11/2,1489
202 SW Custer St,$699000,3,1,2786
7536 N Chatham Ave,$739900,6,4F11/2,3165
3921 NW Devoto Ln,$1390000,5,3F11/2,5340
4380 SW Laurelwood Ave,$789900,3,2,2441
1920 SW River Dr #905,$499900,1,1,802
7027 SE Rhone St,$439900,5,2,2192
17 NE 74th Ave,$575000,3,2F11/2,2193
1132 SW 19th Ave #609,$329900,1,1,662
7607 SE Harney St,$239000,1,1,504
2526 SE 130th Ave #9,$269000,3,2F11/2,1437
6176 SE Boise St,$524000,3,2F11/2,1694
4263 NW Ashbrook Dr,$744900,4,3F11/2,2905
4316 NW Ashbrook Dr,$744900,4,3F11/2,2908
5815 SE Flavel St,$335000,3,2,1134
908 SW Gaines St #24,$235000,2,1,852
317 NE 56th Ave,$440000,2,2F11/2,1329
15348 SE Henderson Way,$485500,4,2F21/2,3080
2107 NE 14th Ave,$1049000,5,2F11/2,3850
11705 NW Winter Park Ter #101,$299900,2,2,1011
1410 NW Kearney St #1024,$350000,1,1,836
836 SW Curry St #1304,$575000,1,1F11/2,1247
333 NW 9th Ave #610,$439990,1,1,988
1616 SW Montgomery St,$695000,2,2F11/2,1937
6035 SE Reed College Pl,$1620000,5,4F11/2,5710
9780 SW 54th Ave,$699000,5,3,2595
2309 SW 1st Ave #542,$479900,2,2,1593
627 NE Randall Ave,$599900,2,2F11/2,1487
623 NE Randall Ave,$599900,2,2F11/2,1487
621 NE Randall Ave,$599900,2,2F11/2,1461
2387 NW Northrup St #6,$569000,2,1,1714
1715 SE 36th Ave,$589100,4,2,2423
12642 NW Barnes Rd #11,$164900,2,1,812
2636 SW Hume Ct,$342900,2,2,1251
311 NW 12th Ave #604,$1295000,3,2F11/2,2117
9221 N Lombard St #1,$187900,2,1,752
3523 SE Alder St,$799900,5,3F11/2,2645
8428 SE 146th Pl,$510000,4,3F11/2,3318
15332 NW Troon Dr,$639000,2,2,1423
3601 SW River Pkwy #2805,$1295100,2,2F11/2,2698
1542 SW Joshua St,$719000,4,3,2760
7735 SE 66th Pl,$369000,3,2,1544
12621 SE Boise St,$259900,3,2F11/2,1420
302 NE Morgan St,$287500,3,2F11/2,1131
163 SE SE 13th Ave,$535000,3,2F11/2,1352
4650 SW Ormandy Way,$650000,4,2F11/2,2080
15715 NE Beech St #4H,$123900,2,2,978
3526 NE Fremont St,$1200000,4,2,4756
1210 SE 135th Ave,$349000,3,1,2100
16417 NW Chadwick Way #102,$220000,1,1,709
709 SW 16th Ave #105,$199900,1,1,565
5522 SE Ramona St,$599900,4,2,2812
2834 NE Alameda St,$1299900,6,4F11/2,5837
1150 NW Quimby St #204,$545500,1,1,1017
2846 NW Fairfax Ter,$1700000,5,3F21/2,6136
2122 SW 18th Ave,$899000,3,3F11/2,2877
2370 NE Jarrett St,$729900,4,3F11/2,2935
2380 NE Jarrett St,$749900,4,3F11/2,2935
410 NW 18th Ave #203,$585000,3,1,1283
15226 SE Flavel St,$449995,5,3,2279
15234 SE Flavel St,$444995,4,2F11/2,2219
1150 NW Quimby St #1510,$685500,1,1,1097
9219 SE Pardee St,$525000,4,2,2410
4019 N Overlook Ter,$995000,3,2F11/2,2756
12 NE Fremont St #6E,$945000,2,2,1662
12 NE Fremont St #8W,$1175000,3,2,1685
12 NE Fremont St #4W,$775000,2,2,1664
528 SE 128th Ave,$329000,3,1,1170
12 NE Fremont St #7E,$995000,3,2,1686
2929 SE 17th Ave,$458500,2,1,1764
3601 SW River Pkwy #2300,$465000,1,1,1209
535 NE Bridgeton Rd #1,$250000,2,1,1034
629 NE Randall Ave,$599900,2,2F11/2,1554
7621 SE Barbara Welch Rd,$800000,4,4,4081
6886 NE 13th Ave,$499900,3,2F11/2,1712
3316 SE 67th Ave,$693999,5,3,2912
1400 NW Irving St #510,$330000,1,1,804
1944 NW Cedar Ridge Dr,$999000,4,3F11/2,4540
6580 SW Evan Ct,$730000,5,2F11/2,3231
1239 NW Mayfield Rd,$829000,4,3F11/2,4135
3441 SE 111th Ave #10,$47900,2,1,672
1025 NW Couch St #820,$537100,1,1F11/2,960
2109 NW Irving St #307,$214900,1,1,513
4005 SE Sherman St,$574989,4,2F11/2,1874
6434 SE 138th Pl,$319990,3,2F11/2,1297
7033 SE 29th Ave,$724900,4,2F11/2,2634
14750 NW Mitchell St,$899000,4,3F11/2,3737
1524 NE 148th Pl,$370000,2,2,1713
15372 NW Aberdeen Dr,$437500,2,2F11/2,1762
9524 NW Engleman St,$760000,4,3,3304
8405 SE 23rd Ave,$268000,2,1F11/2,1030
416 NW 13th Ave #506,$450000,1,1,1089
7926 SE 6th Ave,$775000,3,2F11/2,1800
7932 SE 6th Ave,$775000,3,2F11/2,1800
2076 NW Johnson St #302,$274900,1,1,552
9746 NW Sunrise Ln,$1850000,5,4F11/2,6395
5035 N Montana Ave,$375500,4,2,2541
2738 SW Robins Crest Dr,$1450000,5,3,5846
5035 NE 24th Ave,$849900,5,3F11/2,2645
5615 SE 115th Ave,$368000,3,2,2132
12450 SW Fischer Rd #134,$139500,3,2,1493
2350 NW Savier St #224,$649000,2,2,1385
1030 NW 12th Ave #330,$339500,1,1,651
8940 NW Skyline Blvd,$594000,5,2,2688
2180 NW 111th Ave,$519000,2,2,2200
6605 W Burnside Rd #146,$168000,1,1,707
1025 SW Summit View Dr,$945000,4,2F11/2,4526
917 SW Palatine St,$885000,4,3F11/2,3738
5321 NE Irving St #F,$364900,2,2F11/2,1010
720 NW Naito Pkwy #D12,$219000,1,1,735
2323 SW Broadway Dr,$968000,4,2F11/2,3386
7945 SE 104th Ave,$410000,3,2F11/2,1740
1835 N Jantzen,$229000,2,1,987
4330 SE Madison St #B,$319900,1,1,678
3825 SW 97th Ave,$565000,4,2,2647
1405 SE 168th Pl,$319950,3,2,1282
12818 SE Mill St,$579900,5,3F11/2,3098
15519 SE Belmore Hts,$439900,4,3,2409
1719 NW Irving St,$875000,4,2F11/2,3144
1811 N Colfax St,$514900,3,2F11/2,1635
1111 NE 37th Ave,$1165000,3,3F11/2,3341
2179 NW Hoyt St,$720000,3,1,2119
11108 SW 65th Ave,$385000,3,2,1273
563 SW Carson St,$579900,3,2F11/2,1744
6623 N Astor St,$299000,2,1,768
9717 N Smith St,$389900,4,1,2252
6969 SE Harney St,$379900,3,2F11/2,1462
3817 NE 11th Ave,$678000,4,3,2124
1926 W Burnside St #1602,$999900,2,2,1643
590 NW Alpine Ter,$850000,2,2F11/2,2147
6906 SE Nehalem St,$275000,2,1,612
8168 N Delaware Ave,$669900,4,3F11/2,2430
1308 SW Military Rd,$1649000,4,3F11/2,4823
14835 NE Sacramento St #113,$259900,2,2,1336
2350 NW Savier St #302,$675000,2,2,1278
2650 SW Cross Ave,$1350000,3,2F11/2,3572
4125 SW SW 6th Avenue Dr,$929000,5,4,4652
9826 SE Caruthers St,$495000,5,2F11/2,2441
1030 NW 12th Ave #534,$449000,1,1,712
3919 NE Tillamook St,$575000,2,2F11/2,1848
3601 SW River Pkwy #215,$425000,1,1F11/2,1248
19962 NW Quail Hollow Dr,$405000,3,3,1407
18700 NW Logie Trail Rd,$510000,3,1F11/2,2511
726 NW 11th Ave #104,$435000,1,1,802
7125 SW 3rd Ave,$699900,3,2,3548
7301 SW 26th Ave,$499900,3,1,1597
2706 SE 138th Ave #32,$136500,2,1,796
7402 SE Evergreen Ave,$379900,3,2F11/2,1350
2743 NW Thurman St #3,$269000,1,1,651
924 NE 72nd Ave,$399900,3,1F11/2,1210
4926 SW Corbett Ave #101,$329995,2,2,1126
2470 NE Highland St,$665000,5,2F11/2,2478
912 NE Hazelfern Pl,$938000,4,3,3137
6625 W Burnside Rd #223,$199900,1,1,707
38 NE 148th Ave,$375000,3,2,1475
7345 NW Eleanor Ave,$358990,2,2F11/2,1384
13611 NW Glendoveer Dr,$999000,4,3,3645
7367 NW Eleanor Ave,$314990,2,2F11/2,1214
225 SW Carson St,$479900,4,1F11/2,2519
2349 NW Pinnacle Dr,$1376000,5,4F11/2,6444
3007 SE 18th Ave,$699900,3,2F21/2,2110
10921 SE Flavel St,$365000,3,2,1320
636 SE 156th Ave,$385000,3,1F11/2,1732
4038 SE 76th Ave,$340000,2,1,1400
9525 SW 12th Dr,$649000,2,1F11/2,1910
13345 NW Glenridge Dr,$430000,2,2,1452
2799 SW Roswell Ave,$544900,2,2,1616
15161 NW Wendy Ln,$609999,4,2F11/2,2689
12346 Orchard Hill Rd,$1050000,2,2F11/2,2904
3114 SW Wilbard St,$649950,4,3F11/2,3652
3927 NW Devoto Ln,$835800,5,4F11/2,5858
1323 SE Lambert St,$779900,4,3F11/2,2462
17809 NE Marine Dr #A2,$549900,3,2,1801
10304 NE Tillamook St,$459900,6,2,2342
24800 NW Saint Helens Rd #L02,$249000,2,1,820
3311 SE 141st Ave,$319000,3,1F11/2,1612
6665 W Burnside Rd #431,$300000,2,2,1097
15271 SE Flavel St,$469995,5,2F11/2,2701
66 NW Macleay Blvd,$673000,4,2F11/2,2757
99 SW Midvale Rd,$1019900,4,3,3080
3507 NE Wasco St,$599950,4,2F11/2,3402
16430 NW Mcnamee Rd,$366000,3,2,1848
12358 SE Holgate Blvd,$259999,3,2F11/2,1420
8055 SE Bybee Blvd,$599000,3,1,2316
7111 SW Florence Ln,$575000,4,3,3007
12031 SE Mill Ct,$359600,4,3F11/2,1692
8357 SW 24th Ave,$364900,2,2,1162
15601 NW Clubhouse Dr,$375000,2,2F11/2,1666
6837 N Montana Ave,$590000,2,1,1461
606 NW Naito Pkwy #A21,$224800,1,1,735
9180 SE Oak St,$438900,3,2F11/2,1671
4175 NE Rodney Ave #4175,$799999,4,3F11/2,2311
3312 NE 48th Ave,$799500,4,3,3477
8816 N Edison St,$499900,3,3F11/2,1423
2820 N Willamette Blvd,$560000,4,2,2579
9133 SE Oak St,$439000,3,2F11/2,1696
933 SW Maplecrest Ct,$900000,4,3F11/2,3144
9139 SE Oak St,$439000,3,2F11/2,1696
5170 SW Landing Dr #203,$399000,2,2,1009
8822 N Swenson St,$480000,4,3,2032
14261 NE Shaver St,$339985,3,2F11/2,1836
20 NW 16th Ave #4,$279900,2,1,722
7035 SE Sherrett St #A,$449000,3,2F11/2,1814
7027 SE Sherrett St #B,$349000,2,1,866
10935 SW 65th Ave,$400000,3,2F11/2,1680
6603 N Amherst St,$685500,4,3F11/2,3187
529 NW 21st Ave,$760000,5,3,2891
10812 SE Powell Blvd,$259000,1,1,960
9748 NW Miller Hill Dr,$329900,2,2,1426
11203 SW 27th Ave,$556900,4,2F11/2,2152
429 N Bridgeton Rd #11,$275000,2,1F11/2,1164
6111 SW Lesser Way,$499999,4,3F11/2,2780
7118 SE 156th Ave,$479000,4,3,2426
1500 SW 5th Ave #1101,$1450000,3,2,2436
4504 NE 95th Ave,$425800,2,1,1650
1500 SW 11th Ave #801,$534900,2,2,1004
4118 N Russet St,$649900,4,2F11/2,2526
4812 NE Mallory Ave,$1999990,3,3,3486
10747 SW 65th Ave,$649950,4,2,2680
195 N Lotus Beach Dr,$785000,2,3,2846
6208 NE Killingsworth St,$699000,6,2,2650
2445 NW Westover Rd #417,$1700000,2,2F11/2,2431
154 N Hayden Bay Dr,$339777,2,1,952
7244 SE Taylor St,$825000,4,3,2627
2706 SE 138th Ave #33,$149900,2,1,796
1730 SW Harbor Way #302,$297000,1,1,684
1883 SW Vista Ave,$1925000,8,4F21/2,7870
8427 SE Alder St,$279999,2,1,1100
3737 NE 135th Ave,$475000,5,3,3262
2506 SE Grant St,$915000,3,1,3284
1683 SE Linn St,$299900,2,1F11/2,948
2522 NW Miller Rd,$409000,3,2F11/2,1457
15032 SE Belmore St,$410000,3,3F11/2,2279
7835 SE 92nd Ave #4,$189000,3,2F11/2,1142
1504 NE 57th Ave,$450000,4,2,2667
1829 NW Lovejoy St #109,$235000,1,1,620
841 SW Gaines St #339,$699000,2,2F11/2,1562
11502 NW Laidlaw Rd,$1399000,4,2F11/2,4352
8520 SW 20th Ave,$599000,7,3,2772
5720 SE Lexington St,$348500,4,2F11/2,1676
2397 SW Montgomery Dr,$899000,5,3F21/2,4603
2211 SW Park Pl #403,$369900,2,2,1039
2211 SW 1st Ave #201,$375000,2,1F11/2,1166
15324 NW Red Cedar Ct,$1115000,6,5F11/2,6100
10440 N Oswego Ave,$429900,4,1F11/2,1261
4241 SW 41st Ave,$579950,3,3,2644
580 NW Lost Springs Ter #304,$269900,2,2,982
8473 SW 11th Ave,$732500,4,3F11/2,2634
937 NW Glisan St #834,$539100,1,1,968
562 N Blandena St,$775000,4,4,2165
2681 SW Buena Vista Dr,$3850000,5,4F31/2,7088
15325 NW Central Dr #304,$320000,2,2,1150
2448 SW Commonwealth Ave,$2250000,5,3F31/2,5884
2221 SW 1st Ave #1524,$407500,2,2,1473
3027 NW Montara Loop,$575000,3,3F11/2,2968
1926 W Burnside St #402,$499000,2,2,1404
7410 SW 78th Ave,$899900,4,4,3311
3401 SE Brooklyn St,$639000,3,2F11/2,2684
2911 SE 81 Ave,$474900,4,3,1812
4133 SE Evergreen St,$674900,3,3F11/2,1968
4129 SE Evergreen St,$674900,3,3F11/2,1968
8790 SW 90th Ave,$398698,3,2,1266
15698 NW Clubhouse Dr,$415000,2,2F11/2,1656
703 NE 79th Ave,$427000,8,3F11/2,3040
2037 SE 90th Pl,$389000,4,2,1706
8624 SW Caiden Ter,$799900,5,2F11/2,3233
1826 NE Clackamas St,$889000,4,2F11/2,3076
14439 SE Crystal St,$599900,5,4,4280
12804 E Burnside St,$339999,3,1,1325
7265 SW Willowmere Dr,$1195000,4,2F11/2,3760
4031 NE 78th Ave,$429900,2,1,2058
2217 N Terry St,$439900,4,2,2228
1075 NW Northrup St #305,$529000,1,1,763
6145 E Burnside St,$474000,3,2,2706
5924 N Michigan Ave,$279900,1,1,730
1722 SW Vista Ave,$1450000,4,3F11/2,3972
3808 SW Mount Adams Dr,$1400000,5,3F11/2,5049
2707 NW Birkendene St,$849900,5,3F11/2,3000
15595 NW Donegal Ct,$539900,2,2,1436
2023 SE Harold St,$449995,4,3,1816
2027 SE Harold St,$449995,4,3,1816
6317 SE 92 Ave,$529800,3,2F11/2,1634
2043 NE Tillamook St,$1650000,5,4F11/2,6767
1150 NW Quimby St #2108,$3216000,3,2F11/2,2701
6049 NE Flanders St,$725000,5,4,2387
501 NE Bridgeton Rd #2,$184900,1,1,714
3414 NE Klickitat St,$749900,3,2F11/2,3258
1416 NW 24th Ave,$1295000,5,4,2949
1920 SW River Dr #E402,$1188000,2,2F11/2,1909
3546 SW Hillside Dr,$475000,2,2,1269
40 SE 133rd Ave #A,$349000,3,2,1688
710 NW 14th Ave #711,$3300000,3,2F11/2,2923
16427 NW Ernst St,$384995,3,2F11/2,1426
1926 W Burnside St #916,$539000,2,1F11/2,1181
6703 N Salem Ave,$309000,2,1F11/2,1059
7246 SE 141st Ave,$549000,4,3F11/2,3570
201 NW Royal Blvd,$2250000,4,3F11/2,4060
8209 SE Pineridge Ct,$689888,5,5,3290
1414 SW 3rd Ave #2502,$1050000,2,2,1881
3240 SW Sherwood Pl,$650000,4,3F11/2,3425
707 N Hayden Island Dr #217,$399000,1,2,1648
9323 SW 52nd Ave,$355000,2,1,704
2709 SW Patton Ct,$650000,4,3,3071
922 NW 11th Ave #406,$749000,2,2,1506
2021 SE Larch Ave,$639900,3,2,3163
707 NE Church St,$415000,3,1F11/2,1566
3223 SE 122nd Ave,$569500,6,3F21/2,2326
2624 NE Clackamas St,$679900,3,3,2818
8327 SE Clatsop St,$469000,2,1F11/2,1636
3110 NW 112th Pl,$1799990,5,5F21/2,6441
2336 SW Osage St #606,$424000,2,1,1014
5115 SE Henderson St,$195000,1,1,494
7786 NW Sitka Ter,$359995,3,2F11/2,1698
1150 NW Quimby St #228,$841000,2,2F11/2,1497
8702 SW 41st Ave,$439900,4,2,2293
3510 SW Sherwood Pl,$1498000,4,3F11/2,4383
1927 N Jantzen Ave #1927,$469000,4,2,1700
10990 SW Butner Rd,$750000,5,3F11/2,3364
4405 SW Selling Ct,$975000,4,3F11/2,4161
5728 SE Front St,$399999,3,2F11/2,1762
5730 SE Front St,$375000,3,2F11/2,1454
333 NW 9th Ave #516,$499000,2,1,1177
3808 SE 115th Ave,$275000,3,1,1436
1150 NW Quimby St #1608,$950500,2,2F11/2,1460
1150 NW Quimby St #1612,$992000,2,2F11/2,1488
1100 SW Palatine Hill Rd,$1099000,4,3,4212
7523 SE 120th Pl,$524500,4,3,2996
1310 NW Naito Pkwy #503,$924500,2,2F11/2,1968
173 NE Bridgeton Rd #18,$199000,2,2,1300
1500 SW Park Ave #415,$315000,1,1,597
9236 SW 44th Ave,$829900,4,3F11/2,2709
12336 SE Stephens St,$355900,3,1,1526
411 NW Flanders St #409,$259900,1,1,723
11652 SW 31st Ct,$849900,6,2F11/2,4447
429 NW Skyline Blvd,$2450000,5,3,5394
314 N Hayden Bay Dr,$449000,2,3,1927
1803 SW Comus St,$778000,2,2,1625
14125 NW Germantown Rd,$4000000,5,5F11/2,13000
14343 SE Knight St #A,$422000,4,2F11/2,1922
14343 SE Knight St #B,$240000,2,1,722
1025 NE 68th Ave,$225000,1,1,569
2417 NE Dekum St,$339000,3,1,880
1001 NW Lovejoy St #502,$475000,1,1F11/2,873
17448 SE Marie St,$285000,2,1,1428
1410 NW Kearney St #826,$469000,1,1,1122
1500 SW 11th Ave #605,$319900,1,1,505
2075 SW Mayfield Ave,$900000,4,2F11/2,2928
1420 SW Woodward Way,$1000000,5,3F11/2,4631
6901 SE Oaks Park Way #12,$785000,1,2,1390
650 SE Andover Pl,$950000,4,3,3107
2324 NW Pinnacle Dr,$1498000,4,3F11/2,5606
3735 SE Martins St,$1200000,9,7F31/2,6345
1150 NW Quimby St #212,$496000,1,1,931
5769 SW Clay Ct,$565000,4,3F11/2,2433
4330 SW 91st Ave,$799000,5,4F11/2,3968
205 NW Royal Blvd,$1600000,3,3F11/2,2977
9585 SW Imperial Dr,$799000,4,3,2962
3007 SE 92nd Ave,$345000,4,2F11/2,1556
7216 SE 154th Ave,$450000,4,2F11/2,2714
3336 NE Cadet Ave,$649000,3,3,4346
3506 NE 145th Ave,$654000,4,3,3376
6330 SW Sweetbriar Ct,$1998000,6,5,6238
5135 NW Saint Helens Rd,$777000,3,1,2784
3129 NE Rocky Butte Rd,$870000,3,3,3431
16335 NE Multnomah St,$395000,4,2,2700
531 N Bridgeton Rd #3,$317000,1,1,831
12531 NE Rose Pkwy,$550000,6,3F11/2,2940
1075 NW NW Northrup St #614,$1027000,2,2F11/2,1596
4425 SW 47th Dr,$1035000,6,3F11/2,4044
726 NW 11th Ave #514,$464000,1,1,817
420 NW 11th Ave #1019,$425000,1,1,854
9328 SW 30th Ave,$639000,6,4,4308
3601 SW River Pkwy #1407,$299900,1,1,640
7720 SW Macadam Ave #7,$675000,3,2F11/2,2432
4470 SE 12th Ave,$475000,2,1,1356
3369 NE 162nd Ave,$149990,2,1,892
4407 NW Ashbrook Dr #Lt41,$839950,5,3,3462
11808 N Jantzen Dr,$400000,2,2F11/2,2152
1420 NW Lovejoy St #526,$339900,1,1,779
2685 SW Spring Garden St,$174900,1,1,784
9129 NE Webster St,$269000,3,1,2043
2630 N Hayden Island Dr #36,$329000,2,2,1350
3438 SE Tolman St,$659000,4,2,3035
12235 SE Schiller St,$249999,3,2F11/2,1310
8426 SE Lambert St,$349950,3,1F11/2,1863
365 N Lotus Beach Dr,$750000,2,2F11/2,3288
9912 NW Wind Ridge Dr,$8650000,4,4F41/2,11807
5820 N Maryland Ave,$429900,2,1,783
173 NE Bridgeton Rd #17,$335000,3,2F11/2,1593
10238 NW Langworthy Ter,$1349000,4,4F21/2,4601
501 NE Bridgeton Rd #3,$324900,3,2,1485
2454 SW Arden Rd,$669000,3,2,2840
1625 NW Johnson St,$879900,3,4,2996
7514 SW Cedarcrest St,$275000,1,1,768
255 SW Harrison St #21b,$275000,1,1,744
415 SE 76th Ave,$1199950,16,6F61/2,6588
7725 SW Maple Dr,$765000,5,3,3872
12123 NW Hiller Ln #L124,$857995,4,3,3175
1124 NW Johnson St #108,$1650000,4,3F11/2,3020
2309 SW 1st Ave #1941,$679900,3,3,2508
255 SW Harrison St #20B,$264000,1,1,744
7728 SW Barnes Rd #D,$209900,1,1,572
1150 NW Quimby St #210,$581000,1,1,1084
7566 SW Cedarcrest St,$1699000,6,6,8094
1930 SW River Dr #W504,$700000,2,2,1500
1015 SW Bertha Blvd #1,$215000,2,1,901
2807 SW Plum Ct,$549900,5,3,2680
12607 SW 64th Ave,$379900,5,2,2300
1125 NW 9th Ave #221,$499999,2,2,1189
11020 NW Laidlaw Rd,$1350000,6,5F11/2,5613
5250 SW Landing Dr #309B1,$199000,1,1,774
4450 W Burnside Rd,$1500000,5,3F11/2,3858
15053 NW Orchid St #L106,$316990,2,2F11/2,1371
10640 NE Beech St,$740000,5,2,2540
3939 N Marine Dr #15,$429900,2,2,1576
4101 N Marine Dr #4,$199000,2,2,1450
5335 SW Patton Rd,$6975000,4,5F21/2,8162
2021 SW Main St #27,$335000,2,2,983
18655 NW Sauvie Island Rd,$899000,3,3,2888
1025 NW Couch St #1019,$549000,1,1F11/2,1000
15635 NE Clackamas Ct,$479837,4,3,2369
15632 NE Clackamas Ct,$469833,5,3,2258
15642 NE Clackamas Ct,$485877,4,3,2369
15205 SE Millmain Dr,$342000,4,2,1898
12415 NW Haskell Ct #13,$319000,3,2,1451
8636 SE Harney St,$678000,3,2,1644
15643 NE Clackamas Ct,$438937,4,2F11/2,1937
15647 NE Clackamas Ct,$459877,4,3,2327
15679 NE Clackamas Ct,$449833,4,2F11/2,2258
15675 NE Clackamas Ct,$457877,4,2F11/2,2423
5174 NE 21st Ave,$724900,4,3F11/2,2352
9334 N Tyler Ave,$172900,2,1,879
8005 SW 69th Ave,$797500,3,2,1674
116 NE 109th Ave,$274900,3,2F11/2,1200
2336 SW Osage St #305,$300000,1,1,720
333 NW 9th Ave #607,$700000,1,2,1401
1033 SW Gibbs St #201,$375000,2,2,1014
749 SW 68th Ter,$1375000,4,5F11/2,4595
7720 SW Macadam Ave #19,$645000,1,1,748
408 NE 76th Ave,$559950,4,2,2242
310 NW Uptown Ter #3B,$313900,1,1,638
3368 SW Fairmount Blvd,$645000,3,2F11/2,2626
17379 NW Shackelford Rd #56,$374995,3,2F11/2,1698
310 NW Maywood Dr,$995000,4,3F11/2,3348
841 SW Gaines St #2200,$2500000,2,2F11/2,2340
1221 SW 10th Ave #1101,$1545000,2,2F11/2,2067
14804 NW Red Cedar Ct,$1125000,4,4F11/2,4645
654 SW Grant St #202,$229900,1,1,581
11728 SW Summerville Ave,$1980000,6,6F21/2,7667
5441 SW View Point Ter,$450000,2,2F11/2,1710
7623 SE 110th Ave,$490000,6,2F11/2,3225
2020 SW Market Street Dr #303,$550000,1,1,1116
7504 SE 28th Ave,$639000,4,2,2469
800 NW Powhatan Ter,$1499900,4,4F11/2,5425
3601 SW River Pkwy #301,$649900,2,2,1784
1806 SW Riverdale Rd,$665000,3,2,2163
5109 SE 46th Ave,$624900,8,4,5021
1611 SW Greenwood Rd,$1989000,6,5F21/2,8051
1380 SW Carson St,$824900,5,2F11/2,2668
1368 SW Carson St,$874900,5,3,2950
2393 SW Park Pl #110,$499000,2,2,1092
2646 NW Cornell Rd,$1475000,4,4F21/2,5331
643 N Tomahawk Island Dr,$399900,3,2,2078
10825 E Burnside,$299900,3,2F11/2,1453
12161 NW Fernleaf Ln #L229,$984995,5,4,4178
4318 SW Fairview Circus,$2200000,4,3F21/2,4817
2972 SW Champlain Dr,$677000,3,2,2140
1255 NW 9th Ave #519,$450000,1,1,943
16138 NW Reliance Ln,$424995,3,2F11/2,1763
8683 NW Savoy Ln,$1400000,4,3F11/2,4102
628 NE Fargo St #11,$499000,3,3F11/2,1687
785 SW 67th Pl,$765000,4,2F21/2,3882
2087 NW Overton St #202,$290000,1,1,494
10615 SW 40th Ave,$879000,4,3,3073
1111 SE 144th Ave,$329900,4,2,1796
1011 NW Glisan St #305,$1450000,2,2,2474
2020 SW Palatine Hill Rd,$599000,3,2,1724
22505 NW Gillihan Rd,$899000,5,3,3855
0 SW Mount Adams Dr,$1100000,5,3F11/2,2776
1320 SW Hall St #101,$329500,2,2,1083
100 SW Vermont St,$1950000,3,3F11/2,4398
6440 SW Parkhill Way,$899000,3,2F11/2,3215
10615 SW 42nd Ave,$775000,3,2,3660
12260 NW Fernleaf Ln #L107,$869995,4,3F11/2,3669
4077 SW Kanan Dr,$799000,5,4,3035
1829 NW Lovejoy St #504,$269000,1,1,608
414 SW Edgecliff Rd,$2495000,5,3F21/2,6213
1616 SW Harbor Way #411,$390500,2,2,1038
23586 NW Saint Helens Rd #U-34,$315000,2,2,1100
1425 SE 34th Ave,$624500,4,2F11/2,2500
1310 NW Naito Pkwy #210,$418000,1,1F11/2,1224
6248 N Concord Ave,$799000,6,4F11/2,2966
1816 NE Saratoga St,$599900,6,2F11/2,3592
1310 NW Naito Pkwy #308,$759000,3,2,1710
1525 NE Marine Dr,$2998000,5,5F11/2,6310
205 N Bridgeton Rd #W2,$329000,2,2,1198
2405 SE 156th Ave,$469900,4,2F11/2,1936
1436 SE 148th Ave,$255000,3,1,976
785 NE Jessup St,$739000,4,3F11/2,2667
2424 SW Montgomery Dr,$4985000,7,5F31/2,14335
7615 SW Kelly Ave,$1000000,3,2F11/2,3442
13616 NW Glendoveer Dr,$1899000,4,4F31/2,7038
6901 SE Oaks Park Way #G,$945000,3,2F11/2,2995
