Street,Price,Beds,Baths,Square Footage
200 N Bridgeton Rd,$453000,3,3F11/2,2179
8009 SE 144th Dr,$824999,6,4F11/2,5470
1500 SW Skyline Blvd #16,$275000,2,2,1156
2109 SE 118th Ave,$315000,3,1,1533
2116 NW 16th Ave,$788900,2,2F11/2,2074
2211 SW Park Pl #804,$379800,2,2,959
4619 NW Barnes Rd,$1225000,3,3,2502
110 NE 157th Ave,$498000,4,2,2124
4376 SE Nehalem St,$674900,3,2F11/2,2603
1811 NW Couch St #512,$249999,1,1,607
7820 N Olympia St,$399000,3,3,1772
18170 E Burnside St,$194750,3,2,1126
14915 NE Sacramento St #10,$255000,2,2,1128
455 SW Hamilton Ct #602,$1595000,3,2F11/2,3017
3624 NE Cleveland Ave,$499000,4,2,2776
922 NW 11th Ave #109,$625000,1,1F11/2,1480
1920 SW Wellington Ave,$519900,3,2,1999
4216 N Mississippi Ave #305,$354950,1,1,731
10215 SW 31st Ave,$579900,3,3,2393
21255 NW Rock Creek Blvd,$399000,3,2,1733
16297 NW Liberty St,$559995,4,2F11/2,2297
16317 SE Market St,$293900,3,1,1180
3319 SE 50th Ave,$460000,2,1,1522
1221 SW 10th Ave #1313,$950000,2,2,1500
5620 SW Riverside Ln,$399400,2,2,1542
6410 NE 41st Ave,$450000,3,2,2747
4514 E Burnside St,$610000,6,2,3911
7229 N Hurst Ave,$549950,4,2,2892
1209 SW 6th Ave #301,$469000,2,2,1134
2083 NW Johnson St #66,$435000,2,1,1114
15612 NW Clubhouse Dr,$359900,2,2F11/2,1641
8809 SE Reedway St,$324900,3,1F11/2,1060
2750 SE 176th Pl,$265000,3,1,912
7267 NW 164th Ave,$389995,3,2F11/2,1426
3970 N Interstate Ave #403,$339900,1,2,1256
2354 NW Roosevelt St,$495000,2,2,2111
1526 N Holman St #2,$319900,2,2,1092
415 N Bridgeton Rd #1,$649000,2,2,1647
12452 NW Fernleaf Ln #L49,$762495,4,3,3472
1526 NE 150th Ave,$376500,2,2,1427
5294 N Yale St,$499950,3,3,1479
1900 SW River Dr #n1005,$885000,2,2,1650
2114 SE Ladd Ave,$949900,6,2,4188
11710 N Island Cove Dr,$380000,2,2,1553
7794 NW Sitka Ter,$389995,4,3F11/2,1723
7023 SE Knight St,$329000,2,1,820
5703 SE Lambert St,$169000,2,1,864
6428 SE 139th Ave,$314900,2,2,1066
1734 SW Canby St,$399900,2,1,1503
16226 NW Fescue Ct,$324900,3,2F11/2,1480
18135 NW Corinthian St,$415000,3,2F11/2,1700
2815 SE 28th Pl,$719900,4,3,2053
8031 SE 9th Ave,$719900,4,2F11/2,2083
12380 NW Fernleaf Ln #Lt112,$839950,5,3,3121
1005 SW Park Ave #707,$260000,1,1,623
435 SW 70th Ter,$404900,3,2F11/2,1825
7935 SE Bybee Blvd,$339900,2,1,1298
451 SW California St,$1199950,5,3F21/2,3487
